Date,TBTA_CBDInbound,PANYNJ_CBDInbound,ERB_Inbound,TPEP_CBD_Speed,TBTA_CBDInbound_Avg,PANYNJ_CBDInbound_Avg,ERB_Inbound_Avg,TPEP_CBD_Speed_Avg
12/12/2019,84306,92021,270010,6.16,75575,95913,256534,6.818
12/13/2019,81673,97305,259112,5.95,75579,95993,255312,6.694
12/14/2019,71619,103046,243021,7.361,75731,96331,249957,6.644
12/15/2019,63326,101499,206563,8.473,75906,96574,241345,6.649
12/16/2019,75380,98973,223036,6.993,75641,96946,240617,6.726
12/17/2019,75945,90537,240408,6.27,75436,96542,241236,6.802
12/18/2019,78126,92200,247360,6.336,75768,96512,241359,6.792
12/19/2019,82186,92653,250740,6.717,75465,96602,238606,6.871
12/20/2019,81151,102806,263763,7.149,75390,97388,239270,7.043
12/21/2019,65998,103333,270822,8.666,74587,97429,243242,7.229
12/22/2019,57656,104348,246645,8.198,73777,97836,248968,7.19
12/23/2019,71247,99995,243270,7.434,73187,97982,251858,7.253
12/24/2019,59223,91110,236650,9.913,70798,98064,251321,7.773
12/25/2019,43494,92200,198313,11.63,65851,98064,244315,8.529
12/26/2019,62547,92653,219566,8.734,63045,98064,239861,8.817
12/27/2019,66599,95326,225981,8.497,60966,96995,234464,9.01
12/28/2019,58481,86036,230841,8.983,59892,94524,228752,9.055
12/29/2019,53028,75746,221863,8.907,59231,90438,225212,9.157
12/30/2019,64820,93108,211905,7.975,58313,89454,220731,9.234
12/31/2019,56257,88675,221186,9.807,57889,89106,218522,9.219
1/1/2020,43114,87371,223361,11.989,57835,88416,222100,9.27
1/2/2020,62116,92584,234953,9.46,57774,88407,224299,9.374
1/3/2020,62999,92584,223812,9.063,57259,88015,223989,9.455
1/4/2020,52920,80979,226266,10.069,56465,87292,223335,9.61
1/5/2020,49535,77434,235154,10.239,55966,87534,225234,9.8
1/6/2020,67415,81410,224352,9.143,56337,85862,227012,9.967
1/7/2020,66641,80167,234708,8.872,57820,84647,228944,9.834
1/8/2020,69491,83150,231163,8.51,61588,84044,230058,9.337
1/9/2020,73099,84724,244382,7.934,63157,82921,231405,9.119
1/10/2020,73481,86506,246583,8.305,64655,82053,234658,9.01
1/11/2020,63660,90951,256611,9.335,66189,83477,238993,8.905
1/12/2020,54894,89839,241684,9.817,66954,85250,239926,8.845
1/13/2020,69678,88876,225651,8.092,67278,86316,240112,8.695
1/14/2020,69730,76008,225520,7.964,67719,85722,238799,8.565
1/15/2020,72009,85091,238594,8.149,68079,85999,239861,8.513
1/16/2020,76020,89450,246807,7.738,68496,86674,240207,8.486
1/17/2020,79157,90395,260908,7.887,69307,87230,242254,8.426
1/18/2020,48184,94945,224470,8.666,67096,87801,237662,8.33
1/19/2020,49241,89396,224343,10.092,66288,87737,235185,8.37
1/20/2020,60529,76432,216199,10.17,64981,85960,233834,8.667
1/21/2020,73321,59228,238257,7.685,65494,83562,235654,8.627
1/22/2020,73260,75311,246644,7.826,65673,82165,236804,8.581
1/23/2020,73312,91134,261463,7.767,65286,82406,238898,8.585
1/24/2020,75482,89911,263282,7.814,64761,82337,239237,8.574
1/25/2020,60095,92419,243393,8.061,66463,81976,241940,8.488
1/26/2020,56030,94893,253487,9.501,67433,82761,246104,8.403
1/27/2020,70689,92416,248952,8.507,68884,85045,250783,8.166
1/28/2020,69968,85410,260127,8.02,68405,88785,253907,8.214
1/29/2020,72432,84925,269540,7.503,68287,90158,257178,8.168
1/30/2020,77052,86033,274777,7.481,68821,89430,259080,8.127
1/31/2020,77043,86292,269515,7.849,69044,88913,259970,8.132
2/1/2020,60763,90300,265297,9.223,69140,88610,263099,8.298
2/2/2020,50568,91442,244946,10.032,68359,88117,261879,8.374
2/3/2020,71878,87741,245136,8.477,68529,87449,261334,8.369
2/4/2020,70635,78747,245262,7.776,68624,86497,259210,8.334
2/5/2020,72438,86610,228003,7.649,68625,86738,253277,8.355
2/6/2020,77518,90074,212610,7.22,68692,87315,244396,8.318
2/7/2020,77753,89865,259431,7.408,68793,87826,242955,8.255
2/8/2020,65475,94014,281926,8.372,69466,88356,245331,8.133
2/9/2020,56684,95757,258428,9.16,70340,88973,247257,8.009
2/10/2020,73010,94587,218623,7.361,70502,89951,243469,7.85
2/11/2020,72786,84617,231273,7.202,70809,90789,241471,7.767
2/12/2020,72937,87722,266485,7.681,70880,90948,246968,7.772
2/13/2020,80533,66379,249650,6.809,71311,87563,252259,7.713
2/14/2020,84407,92281,276397,7.203,72262,87908,254683,7.684
2/15/2020,60979,96103,273624,8.592,71619,88207,253497,7.716
2/16/2020,51563,94465,254806,9.287,70888,88022,252980,7.734
2/17/2020,58864,92604,233159,10.424,68867,87739,255056,8.171
2/18/2020,71160,83987,239342,7.91,68635,87649,256209,8.272
2/19/2020,74447,80997,255699,7.67,68850,86688,254668,8.271
2/20/2020,77006,91228,273281,7.302,68347,90238,258044,8.341
2/21/2020,76499,75646,275837,7.285,67217,87861,257964,8.353
2/22/2020,62016,75646,281246,8.903,67365,84939,259053,8.397
2/23/2020,57523,75646,258043,9.61,68216,82251,259515,8.443
2/24/2020,72829,75646,254423,8.347,70211,79828,262553,8.147
2/25/2020,74275,75646,245126,7.278,70656,78636,263379,8.056
2/26/2020,74699,75646,237218,7.128,70692,77872,260739,7.979
2/27/2020,78560,75646,263921,7.514,70914,75646,259402,8.009
2/28/2020,79920,75646,278838,7.61,71403,75646,259831,8.056
2/29/2020,63849,75646,279560,8.943,71665,75646,259590,8.061
3/1/2020,57387,86455,251262,,71646,77190,258621,7.803
3/2/2020,74158,87534,250404,,71835,78888,258047,7.695
3/3/2020,74686,88449,249287,,71894,80717,258641,7.799
3/4/2020,75642,90954,264796,,72029,82904,262581,8.022
3/5/2020,77863,94597,270633,,71929,85612,263540,8.277
3/6/2020,79562,93131,262585,,71878,88109,261218,8.943
3/7/2020,63404,90242,272256,,71815,90195,260175,
3/8/2020,54044,84229,253455,,71337,89877,260488,
3/9/2020,69429,86651,253919,,70661,89750,260990,
3/10/2020,69756,86417,258044,8.28,69957,89460,262241,8.28
3/11/2020,71077,87561,266437,8.449,69305,88975,262476,8.365
3/12/2020,75403,89026,259930,8.593,68954,88180,260947,8.441
3/13/2020,67537,84170,253807,9.331,67236,86899,259693,8.663
3/14/2020,35712,64324,238580,11.85,63280,83197,254882,9.301
3/15/2020,28205,56345,202785,12.912,59588,79213,247643,9.902
3/16/2020,56048,72014,238356,11.247,57677,77122,245420,10.094
3/17/2020,46977,64302,211297,11.844,54423,73963,238742,10.604
3/18/2020,43233,61713,211081,12.22,50445,70271,230834,11.142
3/19/2020,38571,55850,184624,12.635,45183,65531,220076,11.72
3/20/2020,36600,54946,187639,12.914,40764,61356,210623,12.232
3/21/2020,16900,36136,144570,13.488,38076,57329,197193,12.466
3/22/2020,12688,26316,112617,13.866,35860,53040,184312,12.602
3/23/2020,23144,37472,122678,13.088,31159,48105,167787,12.865
3/24/2020,23754,38599,141816,13.685,27841,44433,157861,13.128
3/25/2020,22422,37214,137943,13.656,24868,40933,147412,13.333
3/26/2020,23669,37333,141631,13.838,22740,38288,141271,13.505
3/27/2020,22297,38006,142641,13.884,20696,35868,134842,13.644
3/28/2020,10045,22851,96261,13.404,19717,33970,127941,13.632
3/29/2020,8745,19199,79354,13.957,19154,32953,123189,13.645
3/30/2020,19978,31793,126126,14.053,18701,32142,123682,13.783
3/31/2020,19075,31284,126916,13.985,18033,31097,121553,13.825
4/1/2020,19218,31183,132871,13.695,17575,30236,120829,13.831
4/2/2020,18268,30139,133185,13.824,16804,29208,119622,13.829
4/3/2020,18521,30719,130776,13.76,16264,28167,117927,13.811
4/4/2020,10062,21568,99493,13.74,16267,27984,118389,13.859
4/5/2020,9361,19245,90352,14.197,16355,27990,119960,13.893
4/6/2020,18476,30160,129782,13.906,16140,27757,120482,13.872
4/7/2020,18230,29859,131323,14.068,16019,27553,121112,13.884
4/8/2020,18346,29687,128716,14.113,15895,27340,120518,13.944
4/9/2020,16330,28919,120626,13.858,15618,27165,118724,13.949
4/10/2020,16145,28996,130585,14.059,15279,26919,118697,13.991
4/11/2020,10385,22476,107014,13.658,15325,27049,119771,13.98
4/12/2020,9783,19242,94701,14.571,15385,27048,120392,14.033
4/13/2020,16739,27914,115849,13.619,15137,26728,118402,13.992
4/14/2020,18879,32186,144122,13.858,15230,27060,120230,13.962
4/15/2020,18493,32062,139302,14.112,15251,27399,121743,13.962
4/16/2020,17661,32671,145535,13.958,15441,27935,125301,13.977
4/17/2020,20166,34101,152139,13.825,16015,28665,128380,13.943
4/18/2020,11018,24617,110255,13.96,16106,28970,128843,13.986
4/19/2020,11873,24426,113249,14.232,16404,29711,131493,13.938
4/20/2020,21046,35702,150276,14.009,17019,30824,136411,13.993
4/21/2020,20013,34576,149060,13.562,17181,31165,137117,13.951
4/22/2020,27139,37963,157978,13.52,18417,32008,139785,13.867
4/23/2020,21849,37051,161727,13.87,19015,32634,142098,13.854
4/24/2020,22262,36422,151993,13.318,19314,32965,142077,13.781
4/25/2020,14573,30468,139202,13.9,19822,33801,146212,13.773
4/26/2020,10551,23201,103221,13.503,19633,33626,144780,13.669
4/27/2020,21671,38427,159748,13.709,19723,34015,146133,13.626
4/28/2020,25679,39512,170103,13.592,20532,34721,149139,13.63
4/29/2020,23509,39436,168761,13.596,20013,34931,150679,13.641
4/30/2020,23758,39612,162720,13.124,20286,35297,150821,13.534
5/1/2020,25234,42316,174795,13.103,20711,36139,154079,13.504
5/2/2020,15865,35093,152220,13.678,20895,36800,155938,13.472
5/3/2020,14297,31096,135337,13.712,21430,37927,160526,13.502
5/4/2020,27049,42725,175572,13.57,22199,38541,162787,13.482
5/5/2020,26672,43425,180475,13.454,22341,39100,164269,13.462
5/6/2020,26680,42450,176155,13.517,22794,39531,165325,13.451
5/7/2020,28093,46086,185840,13.413,23413,40456,168628,13.493
5/8/2020,28651,45177,180709,12.983,23901,40865,169473,13.475
5/9/2020,15184,34958,151307,13.396,23804,40845,169342,13.435
5/10/2020,18345,36781,146063,14.111,24382,41657,170874,13.492
5/11/2020,27668,45046,181380,13.174,24470,41989,171704,13.435
5/12/2020,29568,46206,187038,13.214,24884,42386,172642,13.401
5/13/2020,31907,47562,190287,12.917,25631,43117,174661,13.315
5/14/2020,33802,47802,195926,12.981,26446,43362,176101,13.254
5/15/2020,35062,50540,198345,12.72,27362,44128,178621,13.216
5/16/2020,25815,42238,159691,13.27,28881,45168,179819,13.198
5/17/2020,17003,37489,148247,13.58,28689,45269,180131,13.122
5/18/2020,31937,49721,196322,12.978,29299,45937,182265,13.094
5/19/2020,33929,50149,202386,12.908,29922,46500,184458,13.051
5/20/2020,35283,52232,202168,12.749,30404,47167,186155,13.026
5/21/2020,38244,52706,200470,12.691,31039,47868,186804,12.985
5/22/2020,42237,55233,200325,12.217,32064,48538,187087,12.913
5/23/2020,15987,37697,149252,13.176,30660,47890,185596,12.9
5/24/2020,19404,41450,159603,13.836,31003,48455,187218,12.936
5/25/2020,19660,44151,157549,13.749,29249,47660,181679,13.046
5/26/2020,40102,56892,205807,12.686,30131,48623,182168,13.015
5/27/2020,41187,56035,209354,12.56,30974,49166,183194,12.988
5/28/2020,40055,55824,204598,12.541,31233,49612,183784,12.966
5/29/2020,37489,55997,208197,12.449,30555,49721,184909,13
5/30/2020,24847,46845,173041,12.924,31821,51028,188307,12.964
5/31/2020,21781,44108,160465,13.375,32160,51407,188430,12.898
6/1/2020,40949,55270,204336,12.238,35201,52996,195114,12.682
6/2/2020,38358,50756,186918,11.743,34952,52119,192416,12.547
6/3/2020,40205,50653,185863,12.178,34812,51350,189060,12.493
6/4/2020,43891,52485,180401,11.986,35360,50873,185603,12.413
6/5/2020,42682,52882,184728,12.139,36102,50428,182250,12.369
6/6/2020,23046,41316,146237,12.005,35845,49639,178421,12.238
6/7/2020,24466,43615,153162,13.275,36228,49568,177378,12.223
6/8/2020,46908,59376,205374,12.177,37079,50155,177526,12.215
6/9/2020,49320,59797,207398,12.028,38645,51446,180452,12.255
6/10/2020,49209,60220,216719,11.989,39932,52813,184860,12.228
6/11/2020,47759,60680,211592,11.873,40484,53984,189316,12.212
6/12/2020,54874,63866,219530,11.776,42226,55553,194287,12.16
6/13/2020,29300,55398,185340,12.833,43119,57565,199874,12.279
6/14/2020,26637,51348,168450,13.537,43430,58669,202058,12.316
6/15/2020,51738,63591,219783,11.843,44120,59271,204116,12.268
6/16/2020,52752,64650,218326,11.566,44610,59965,205677,12.202
6/17/2020,54330,66182,223808,11.535,45341,60816,206690,12.138
6/18/2020,55926,68047,228266,11.453,46508,61869,209072,12.078
6/19/2020,61865,70872,218257,11.114,47507,62870,208890,11.983
6/20/2020,31608,57567,192369,13.065,47837,63180,209894,12.016
6/21/2020,30014,58127,171551,13.816,48319,64148,210337,12.056
6/22/2020,55947,68339,217540,11.594,48920,64826,210017,12.02
6/23/2020,58297,67704,222006,11.174,49712,65263,210542,11.964
6/24/2020,57943,68414,226250,11.016,50229,65581,210891,11.89
6/25/2020,61718,69667,230917,10.741,51056,65813,211270,11.788
6/26/2020,60225,71122,235579,10.769,50822,65849,213745,11.739
6/27/2020,31514,58379,192813,12.444,50808,65965,213808,11.65
6/28/2020,30691,58454,177809,12.534,50905,66011,214702,11.467
6/29/2020,59663,69936,226048,11.231,51436,66239,215917,11.415
6/30/2020,62023,70767,232061,10.699,51968,66677,217354,11.348
7/1/2020,62900,70799,229717,10.649,52676,67018,217849,11.295
7/2/2020,69391,74211,232246,10.563,53772,67667,218039,11.27
7/3/2020,39404,57756,203440,12.617,50798,65757,213448,11.534
7/4/2020,21223,45463,162325,13.841,49328,63912,209092,11.733
7/5/2020,29261,67499,173089,13.647,49124,65204,208418,11.892
7/6/2020,55808,69828,212847,11.256,48573,65189,206532,11.896
7/7/2020,58066,68797,232484,11.238,48008,64908,206593,11.973
7/8/2020,59376,68636,231815,10.713,47504,64599,206892,11.982
7/9/2020,62971,69775,231169,10.697,46587,63965,206738,12.001
7/10/2020,54320,63337,210859,10.466,48718,64762,207798,11.694
7/11/2020,32007,58102,198384,12.283,50258,66568,212950,11.471
7/12/2020,34829,66180,189197,13.093,51054,66379,215251,11.392
7/13/2020,57790,70841,222597,11.023,51337,66524,216644,11.359
7/14/2020,61564,70712,226754,10.643,51837,66798,215825,11.274
7/15/2020,62787,71260,235336,10.53,52324,67172,216328,11.248
7/16/2020,63023,72774,237250,10.647,52331,67601,217197,11.241
7/17/2020,62639,73309,236701,10.372,53520,69025,220888,11.227
7/18/2020,39365,64682,204597,12.662,54571,69965,221776,11.281
7/19/2020,32822,66433,178430,13.11,54284,70002,220238,11.284
7/20/2020,57431,72797,214724,11.35,54233,70281,219113,11.33
7/21/2020,58333,72190,227252,10.809,53771,70492,219184,11.354
7/22/2020,61663,71416,226572,10.566,53611,70514,217932,11.36
7/23/2020,61186,74195,240172,10.552,53348,70717,218350,11.346
7/24/2020,65425,73794,234162,9.843,53746,70787,217987,11.27
7/25/2020,45031,68836,213648,12.107,54556,71380,219280,11.191
7/26/2020,34849,69001,194117,12.604,54845,71747,221521,11.119
7/27/2020,59327,72943,226006,11.076,55116,71768,223133,11.08
7/28/2020,61576,73140,232288,10.519,55580,71904,223852,11.038
7/29/2020,62055,74169,237400,10.241,55636,72297,225399,10.992
7/30/2020,62856,75507,239770,10.445,55874,72484,225342,10.977
7/31/2020,66392,76885,238295,9.893,56012,72926,225932,10.984
8/1/2020,44601,74958,214296,12.095,55951,73800,226025,10.982
8/2/2020,34054,68211,194282,12.489,55837,73688,226048,10.966
8/3/2020,64556,75153,231258,10.655,56584,74003,226798,10.905
8/4/2020,48084,62523,201494,11.187,54657,72487,222399,11.001
8/5/2020,68520,80582,237807,9.761,55580,73403,222457,10.932
8/6/2020,70709,79057,243935,10.09,56702,73910,223052,10.882
8/7/2020,66996,75090,242944,9.891,56789,73653,223717,10.881
8/8/2020,41543,67820,215707,11.961,56352,72634,223918,10.862
8/9/2020,39979,74589,199478,12.564,57198,73545,224660,10.873
8/10/2020,61293,74215,229200,10.94,56732,73411,224366,10.914
8/11/2020,63856,75080,234618,10.511,58985,75205,229098,10.817
8/12/2020,63449,74860,234632,10.066,58261,74387,228645,10.861
8/13/2020,67455,76644,236299,9.93,57796,74043,227554,10.838
8/14/2020,69734,78102,242971,9.776,58187,74473,227558,10.821
8/15/2020,46073,73707,224285,11.9,58834,75314,228783,10.813
8/16/2020,33203,65859,186600,12.278,57866,74067,226944,10.772
8/17/2020,60798,76121,232262,10.619,57795,74339,227381,10.726
8/18/2020,65712,78145,234833,10.156,58061,74777,227412,10.675
8/19/2020,64372,77550,237834,10.031,58192,75161,227869,10.67
8/20/2020,69727,81951,247580,9.919,58517,75919,229481,10.668
8/21/2020,69162,82702,253630,9.778,58435,76576,231003,10.669
8/22/2020,48576,78684,225847,11.621,58793,77287,231227,10.629
8/23/2020,39800,80464,205658,12.161,59735,79374,233949,10.612
8/24/2020,62465,77906,232130,10.591,59973,79629,233930,10.608
8/25/2020,64950,78329,239661,10.124,59865,79655,234620,10.604
8/26/2020,67573,81129,245719,9.818,60322,80166,235746,10.573
8/27/2020,70014,79926,240510,9.135,60363,79877,234736,10.461
8/28/2020,72092,80025,247644,9.479,60781,79495,233881,10.418
8/29/2020,36345,64312,219183,11.593,59034,77442,232929,10.414
8/30/2020,47430,82764,214539,11.995,60124,77770,234198,10.391
8/31/2020,64641,78934,244351,10.081,60435,77917,235944,10.318
9/1/2020,65967,76119,236990,9.798,60580,77601,235562,10.272
9/2/2020,65122,77332,239207,9.817,60230,77059,234632,10.271
9/3/2020,68343,79539,242788,9.848,59991,77004,234957,10.373
9/4/2020,71746,80856,245359,9.642,59942,77122,234631,10.396
9/5/2020,48782,72843,221903,11.625,61719,78341,235020,10.401
9/6/2020,41958,75009,204445,12.37,60937,77233,233578,10.454
9/7/2020,39096,73350,193089,12.513,57288,76435,226254,10.802
9/8/2020,68177,77979,239602,10.207,57603,76701,226628,10.86
9/9/2020,67294,76592,245711,9.808,57914,76595,227557,10.859
9/10/2020,67520,74324,236437,9.518,57796,75850,226649,10.812
9/11/2020,72281,78424,253464,9.562,57873,75503,227807,10.8
9/12/2020,51900,79962,236889,10.845,58318,76520,229948,10.689
9/13/2020,43350,74369,216873,11.592,58517,76429,231724,10.578
9/14/2020,66132,74000,238839,10.423,62379,76521,238259,10.279
9/15/2020,68719,74597,246265,9.7,62457,76038,239211,10.207
9/16/2020,66849,75294,247528,9.809,62393,75853,239471,10.207
9/17/2020,71680,81040,249864,9.62,62987,76812,241389,10.222
9/18/2020,71695,81769,256274,9.492,62904,77290,241790,10.212
9/19/2020,49722,82142,238249,10.583,62592,77602,241985,10.174
9/20/2020,42014,78452,214251,11.608,62402,78185,241610,10.176
9/21/2020,64268,73509,236403,10.469,62135,78115,241262,10.183
9/22/2020,68107,76032,237541,9.921,62048,78320,240016,10.215
9/23/2020,68782,78615,239965,9.664,62324,78794,238935,10.194
9/24/2020,71220,81088,246770,9.507,62258,78801,238493,10.178
9/25/2020,76200,81994,254389,9.385,62902,78833,238224,10.162
9/26/2020,56044,81624,236878,10.516,63805,78759,238028,10.153
9/27/2020,42216,80268,214638,11.682,63834,79019,238083,10.163
9/28/2020,52888,74025,225785,11.238,62208,79092,236567,10.273
9/29/2020,65010,75537,230539,9.52,61766,79022,235566,10.216
9/30/2020,68976,75537,242869,9.334,61793,78582,235981,10.169
10/1/2020,73388,82792,250418,9.23,62103,78825,236502,10.129
10/2/2020,71704,82327,248108,9.14,61461,78873,235605,10.094
10/3/2020,54482,81199,235266,10.162,61238,78812,235375,10.044
10/4/2020,40053,76047,215500,11.617,60929,78209,235498,10.034
10/5/2020,62181,75981,236125,10.234,62256,78489,236975,9.891
10/6/2020,63939,77134,239885,9.961,62103,78717,238310,9.954
10/7/2020,67326,77143,239810,9.553,61868,78946,237873,9.985
10/8/2020,68878,81012,243395,9.158,61223,78692,236870,9.975
10/9/2020,70988,85949,253100,9.11,61121,79209,237583,9.97
10/10/2020,54196,84968,243690,10.086,61080,79748,238786,9.96
10/11/2020,38872,75207,214937,11.562,60911,79628,238706,9.952
10/12/2020,49867,71409,206015,11.061,59152,78975,234405,10.07
10/13/2020,64904,76424,225261,9.566,59290,78873,232315,10.013
10/14/2020,67847,81336,240818,9.485,59365,79472,232459,10.004
10/15/2020,73980,82610,210588,9.126,60093,79700,227773,9.999
10/16/2020,67914,78819,160833,8.996,59654,78682,214592,9.983
10/17/2020,55545,80322,162925,10.105,59847,78018,203054,9.986
10/18/2020,46900,82368,154770,11.181,60994,79041,194459,9.931
10/19/2020,64887,80635,168443,10.4,63140,80359,189091,9.837
10/20/2020,66519,77902,163686,9.911,63370,80570,180295,9.886
10/21/2020,67908,78506,206751,9.574,63379,80166,175428,9.899
10/22/2020,71701,81162,231470,9.327,63053,79959,178411,9.928
10/23/2020,72503,83030,248492,9.362,63709,80561,190934,9.98
10/24/2020,54691,81670,236898,10.072,63587,80753,201501,9.975
10/25/2020,45841,80995,218021,10.846,63436,80557,210537,9.927
10/26/2020,62653,74852,218514,9.93,63117,79731,217690,9.86
10/27/2020,66576,76758,232466,9.765,63125,79568,227516,9.839
10/28/2020,69533,78264,227496,9.193,63357,79533,230480,9.785
10/29/2020,67692,75087,224280,8.437,62784,78665,229452,9.658
10/30/2020,67286,78812,239927,8.828,62039,78063,228229,9.582
10/31/2020,51487,73694,235708,9.84,61581,76923,228059,9.548
11/1/2020,42185,73708,211832,10.653,61059,75882,227175,9.521
11/2/2020,63426,75952,236171,9.67,61169,76039,229697,9.484
11/3/2020,55296,70260,223663,10.462,59558,75111,228440,9.583
11/4/2020,59207,70750,225712,10.413,58083,74038,228185,9.757
11/5/2020,68401,77259,236047,9.563,58184,74348,229866,9.918
11/6/2020,70043,81658,249466,9.183,58578,74754,231228,9.969
11/7/2020,54980,77897,232936,9.757,59077,75355,230832,9.957
11/8/2020,43697,79174,217454,10.969,59293,76136,231636,10.002
11/9/2020,62705,74954,230468,10.247,59190,75993,230821,10.085
11/10/2020,66831,77301,234000,9.414,60838,76999,232298,9.935
11/11/2020,56681,71470,217926,9.896,60477,77102,231185,9.861
11/12/2020,66656,75719,226727,9.193,60228,76882,229854,9.808
11/13/2020,67766,78184,234408,9.306,59902,76386,227703,9.826
11/14/2020,50529,74634,235208,9.524,59266,75919,228027,9.793
11/15/2020,37298,66773,199683,11.144,58352,74148,225489,9.818
11/16/2020,62732,76724,228006,9.578,58356,74401,225137,9.722
11/17/2020,62964,73327,235054,9.354,57804,73833,225287,9.713
11/18/2020,64987,75046,237099,9.237,58990,74344,228026,9.619
11/19/2020,67763,76393,246018,9.325,59148,74440,230782,9.638
11/20/2020,67385,82868,248681,9.32,59094,75109,232821,9.64
11/21/2020,50521,75238,232825,9.859,59093,75196,232481,9.688
