yearmonth,BillyBey,HMS,Liberty Landing Ferry,NY Waterway,NYC Ferry,New York Water Taxi ,New York Water Tours,SeaStreak,Total
202007,0,0,1073.0,75255.0,402811.0,6926.0,0.0,21174.0,507239.0
202008,0,0,2903.0,148983.0,487837.0,6941.0,0.0,23998.0,670662.0
202009,0,0,4017.0,179124.0,451658.0,7089.0,0.0,24264.0,666152.0
202010,0,0,3226.0,195003.0,363400.0,6965.0,0.0,22100.0,590694.0
202011,0,0,1425.0,86027.0,228383.0,6241.0,0.0,17390.0,339466.0
202012,0,0,1946.0,67425.0,145001.0,5961.0,0.0,13227.0,233560.0
202101,0,0,1709.0,59392.0,148501.0,6141.0,0.0,12304.0,228047.0
202102,0,0,1361.0,46958.0,120252.0,4966.0,0.0,11007.0,184544.0
202103,0,0,0.0,86004.0,242713.0,6977.0,0.0,17189.0,352883.0
202104,0,0,3332.0,98431.0,269933.0,6509.0,0.0,20646.0,398851.0
202106,0,0,11278.0,382023.0,504102.0,6850.0,0.0,48748.0,953001.0
202107,0,0,15280.0,377712.0,513344.0,6226.0,0.0,58521.0,971083.0
202108,0,0,13371.0,380699.0,549101.0,6642.0,0,52864.0,1002677.0
202109,0,0,13321.0,428931.0,541631.0,6972.0,0,53764.0,1044619.0
202110,0,0,11647.0,419385.0,448529.0,6954.0,0,47055.0,933570.0
