yearmonth,Astoria,Atlantic Ave,BMB Slip 5,Battery Park,Bay Ridge,Bayridge,Bayridge Brooklyn Army Terminal,Brooklyn Bridge Park Atlantic Avenue Pier 6,Brooklyn Navy Yard,Christopher Street,Corlears Hook,DUMBO,East 34th Street,East 90th Street,Fulton Ferry,Governors Island,Greenpoint,Hunters Point,Hunters Point South,Long Island City,North Williamsburg,Pier 11,Pier 16 South Street Seaport,Pier 17,Pier 6,Pier 79,Pier 83,Pier 84,Red Hook,Red Hook IKEA,Rockaway,Roosevelt Island,Schaeffer Landing,Soundview,South Williamsburg,Stuyvesant Cove,Sunset Park,Sunset Park Brooklyn Army Terminal (BAT),Total,World Financial Center,World Financial Center / BPT (Brookfield Place)
201709,20974.0,0,0.0,6025.0,0,14561.0,0,0,0,0.0,0,52760.0,100062.0,0,0,8826.0,19142.0,40803.0,0,0,40741.0,372995.0,0,0.0,7594.0,305375.0,0,0,8740.0,0,31869.0,17212.0,0,0,12955.0,0,11463.0,0,1278383.0,206286.0,0
201710,15781.0,0,0.0,5334.0,0,10686.0,0,0,0,0.0,0,53038.0,96895.0,0,0,7126.0,18747.0,34940.0,0,0,41097.0,359567.0,0,0.0,6252.0,345121.0,0,0,6641.0,0,21908.0,14176.0,0,0,14514.0,0,10182.0,0,1256622.0,194617.0,0
201711,10156.0,0,0.0,3248.0,0,4698.0,0,0,0,0.0,0,28072.0,75944.0,0,0,0.0,13799.0,24278.0,0,0,26839.0,285086.0,0,0.0,2615.0,299001.0,0,0,4682.0,0,14437.0,10891.0,0,0,9437.0,0,5241.0,0,989075.0,170651.0,0
201712,7922.0,0,0.0,4251.0,0,2980.0,0,0,0,0.0,0,19205.0,62847.0,0,0,0.0,10715.0,17669.0,0,0,19559.0,229643.0,0,0.0,1755.0,298661.0,0,0,3337.0,0,12300.0,6574.0,0,0,7244.0,0,4198.0,0,854177.0,145317.0,0
201801,6648.0,0,0.0,855.0,0,2255.0,0,0,0,0.0,0,15397.0,50882.0,0,0,0.0,9332.0,16606.0,0,0,19328.0,233180.0,0,0.0,301.0,258735.0,0,0,2636.0,0,6322.0,5841.0,0,0,6701.0,0,2960.0,0,797564.0,159585.0,0
201802,7356.0,0,0.0,1802.0,0,3245.0,0,0,0,0.0,0,18696.0,56998.0,0,0,0.0,10462.0,18064.0,0,0,20978.0,241340.0,0,0.0,2090.0,239473.0,0,0,2813.0,0,9752.0,6409.0,0,0,7334.0,0,3879.0,0,807610.0,156919.0,0
201803,8192.0,0,0.0,2848.0,0,2985.0,0,0,0,0.0,0,24889.0,82477.0,0,0,0.0,11060.0,27986.0,0,0,27166.0,318467.0,0,0.0,1979.0,285864.0,0,0,3165.0,0,10370.0,9655.0,0,0,8510.0,0,4077.0,0,1001317.0,171627.0,0
201804,11916.0,0,0.0,4533.0,0,6083.0,0,0,0,0.0,0,41365.0,82631.0,0,0,0.0,15535.0,30941.0,0,0,35484.0,302582.0,0,0.0,3921.0,329036.0,0,0,4795.0,0,14872.0,10942.0,0,0,13820.0,0,6319.0,0,1099493.0,184718.0,0
201805,15733.0,0,0.0,8289.0,0,9852.0,0,0,0,0.0,0,59926.0,102533.0,0,0,3804.0,19067.0,39232.0,0,0,43584.0,359227.0,0,0.0,6091.0,325440.0,0,0,10447.0,0,23509.0,13758.0,0,0,13925.0,0,9272.0,0,1286036.0,222347.0,0
201806,20975.0,0,0.0,10917.0,0,14816.0,0,0,0,0.0,0,72338.0,123626.0,0,0,5050.0,22042.0,47886.0,0,0,52808.0,408956.0,0,0.0,10618.0,340813.0,0,0,8357.0,0,42368.0,17159.0,0,0,9722.0,0,13807.0,0,1474021.0,251763.0,0
201807,26808.0,0,0.0,14164.0,0,20032.0,0,0,0,0.0,0,81864.0,135541.0,0,0,25750.0,22637.0,54202.0,0,0,54316.0,458863.0,0,0.0,12705.0,338094.0,0,0,10501.0,0,62954.0,18811.0,0,0,19235.0,0,18868.0,0,1650490.0,275145.0,0
201808,26467.0,0,0.0,9413.0,0,17240.0,0,0,0,0.0,370.0,78851.0,143065.0,8273.0,0,7699.0,22343.0,38639.0,0,0,52867.0,481348.0,0,0.0,11931.0,342812.0,0,0,9358.0,0,58087.0,19502.0,0,33642.0,20593.0,685.0,17998.0,0,1664671.0,263488.0,0
201809,21720.0,0,0.0,5529.0,0,13132.0,0,0,0,0.0,3730.0,68162.0,119333.0,11976.0,0,11295.0,21517.0,28640.0,0,0,47105.0,388153.0,0,0.0,9417.0,293777.0,0,0,8295.0,0,34969.0,17318.0,0,23669.0,18221.0,7585.0,12841.0,0,1402592.0,236208.0,0
201810,16865.0,0,0.0,6003.0,0,6709.0,0,0,0,0.0,4679.0,51607.0,118886.0,10253.0,0,4681.0,19963.0,27231.0,0,0,48670.0,380629.0,0,0.0,5201.0,368475.0,0,0,7520.0,0,18894.0,14255.0,0,17814.0,15525.0,4633.0,8500.0,0,1398633.0,241640.0,0
201811,10900.0,0,0.0,3089.0,0,3679.0,0,0,0,0.0,1512.0,27094.0,89252.0,6822.0,0,0.0,14075.0,27378.0,0,0,29969.0,283938.0,0,0.0,2453.0,307559.0,0,0,4534.0,0,13673.0,9739.0,0,12397.0,9599.0,3827.0,2289.0,0,1053368.0,189590.0,0
201812,10121.0,0,0.0,4015.0,0,3315.0,0,0,0,0.0,1005.0,23376.0,75921.0,5497.0,0,0.0,10984.0,22542.0,0,0,23008.0,239801.0,0,0.0,2023.0,318762.0,0,0,3196.0,0,14160.0,8078.0,0,11313.0,8129.0,2794.0,4366.0,0,956541.0,164135.0,0
201901,8881.0,0,8322.0,1441.0,0,2312.0,0,1860.0,0,0,1044.0,18548.0,82890.0,5075.0,0,0.0,15344.0,0,6273.0,15466.0,22094.0,267494.0,1497.0,0,0,278395.0,3176.0,0,3141.0,0,11583.0,7059.0,0,10429.0,8517.0,3483.0,4442.0,0,1034643.0,245877.0,0
201902,8926.0,0,6539.0,2467.0,0,2570.0,0,2062.0,0,0,918.0,20205.0,77781.0,4666.0,0,0.0,11039.0,0,6458.0,14539.0,24480.0,241357.0,1917.0,0,0,248593.0,4677.0,0,2916.0,0,10858.0,6928.0,0,9699.0,8329.0,3104.0,4265.0,0,953209.0,227916.0,0
201903,10763.0,0,7375.0,3129.0,0,0,7737.0,2859.0,0,0,1232.0,29826.0,89498.0,6632.0,0,0.0,19410.0,0,8229.0,17032.0,29659.0,275312.0,2847.0,0,0,305687.0,5408.0,0,3761.0,5265.0,13527.0,8399.0,0,12283.0,10451.0,3813.0,5247.0,0,1206508.0,321127.0,0
201904,17351.0,0,7620.0,2788.0,0,0,16277.0,6895.0,0,0,2126.0,57149.0,119125.0,9315.0,0,0.0,19661.0,0,16312.0,24891.0,44117.0,334655.0,6375.0,0,0,381394.0,11585.0,0,7378.0,12214.0,20192.0,17472.0,0,16195.0,18922.0,5649.0,10216.0,0,1491357.0,305483.0,0
201905,20071.0,0,8000.0,5721.0,0,0,14903.0,7750.0,3028.0,0,2846.0,71765.0,138115.0,14066.0,0,0.0,23302.0,0,20056.0,28601.0,53446.0,378204.0,3016.0,0,0,353665.0,5993.0,0,8342.0,7001.0,30397.0,16238.0,0,19448.0,20494.0,7204.0,11249.0,0,1585142.0,312221.0,0
201906,26147.0,0,7237.0,5667.0,0,0,19741.0,11662.0,11030.0,0,3560.0,89501.0,159821.0,18240.0,0,7941.0,26254.0,0,25924.0,33272.0,59453.0,433174.0,3287.0,0,0,358924.0,5977.0,0,9535.0,9146.0,48283.0,17119.0,0,24831.0,23121.0,8563.0,16561.0,0,2028819.0,564848.0,0
201907,28073.0,0,6419.0,8682.0,0,0,20521.0,12725.0,9850.0,0,3406.0,89464.0,175710.0,19144.0,0,5380.0,25892.0,0,26375.0,32397.0,60049.0,487376.0,4339.0,0,0,378614.0,8452.0,0,11077.0,9852.0,75818.0,18038.0,0,30689.0,23250.0,8436.0,21009.0,0,1964968.0,363931.0,0
201908,30584.0,0,6960.0,8484.0,0,0,23981.0,13998.0,11503.0,0,4017.0,101747.0,182552.0,21360.0,0,7665.0,28541.0,0,30543.0,35120.0,66331.0,505853.0,4757.0,0,0,374188.0,8944.0,0,9712.0,12544.0,74149.0,21533.0,0,32634.0,24557.0,9799.0,21043.0,0,2021308.0,348209.0,0
201909,23421.0,0,7383.0,7179.0,13442.0,0,0,9366.0,9583.0,0,3001.0,81309.0,153075.0,17584.0,0,7298.0,27231.0,0,22884.0,31433.0,60638.0,406897.0,5360.0,0,0,345244.0,6290.0,0,9476.0,9108.0,39280.0,17823.0,0,24842.0,22575.0,8745.0,0,18154.0,1735874.0,0,347253.0
201910,19063.0,0,7810.0,5487.0,8491.0,0,0,6924.0,10406.0,0,2481.0,66327.0,141437.0,14014.0,0,4112.0,24629.0,0,17212.0,28722.0,52570.0,373214.0,4831.0,0,0,387350.0,5137.0,0,8338.0,5057.0,21763.0,15382.0,0,20710.0,20785.0,7813.0,0,14333.0,1630384.0,0,335986.0
201911,12224.0,0,6912.0,5791.0,4403.0,0,0,3267.0,7126.0,0,1496.0,38740.0,105360.0,8710.0,0,0.0,17440.0,0,9537.0,19636.0,33080.0,263909.0,5178.0,0,0,308167.0,3345.0,0,5357.0,4271.0,14384.0,9219.0,0,15013.0,14301.0,4986.0,0,10108.0,1195500.0,0,263540.0
201912,10130.0,0,5577.0,8491.0,3357.0,0,0,2410.0,4864.0,0,1086.0,27483.0,90748.0,6279.0,0,0.0,13888.0,0,7750.0,15654.0,24796.0,233864.0,4328.0,0,0,312444.0,4112.0,0,3648.0,3260.0,15010.0,7523.0,0,13411.0,10684.0,3971.0,0,8681.0,1006440.0,0,162991.0
202001,9979.0,0,7406.0,3704.0,2974.0,0,0,2654.0,5834.0,0,1301.0,25907.0,101870.0,7595.0,0,0.0,16072.0,0,8536.0,19097.0,26533.0,269128.0,2099.0,0,0,285049.0,1260.0,0,3682.0,3834.0,13372.0,7863.0,0,14134.0,12041.0,4992.0,0,9685.0,1090059.0,0,223458.0
202002,9791.0,0,7099.0,2298.0,3105.0,0,0,2716.0,5603.0,0,1172.0,25817.0,92277.0,6932.0,0,0.0,15289.0,0,7721.0,16994.0,26939.0,241317.0,3208.0,0,0,263592.0,2146.0,0,3263.0,3867.0,12787.0,7613.0,0,12858.0,11702.0,4627.0,0,8718.0,1031688.0,0,232237.0
202003,6700.0,0,3323.0,1408.0,2368.0,0,0,2154.0,3490.0,0,861.0,17100.0,59290.0,5558.0,0,0.0,9753.0,0,5585.0,12052.0,16550.0,132962.0,2003.0,0,0,124656.0,1039.0,0,1971.0,1674.0,8129.0,4734.0,0,8641.0,7377.0,2916.0,0,6812.0,565790.0,0,116684.0
202004,1731.0,0,0.0,0.0,764.0,0,0,405.0,592.0,0,263.0,2491.0,12312.0,1758.0,0,0.0,1507.0,0,1869.0,3303.0,2008.0,8401.0,0.0,0,0,0.0,0.0,0,336.0,0.0,1851.0,1165.0,0,2242.0,1857.0,507.0,0,3059.0,51041.0,0,2620.0
202005,4758.0,0,0.0,0.0,2689.0,0,0,1455.0,1429.0,0,1023.0,10228.0,25978.0,4954.0,0,0.0,3381.0,0,7654.0,7089.0,5818.0,27314.0,0.0,0,0,0.0,0.0,0,1003.0,0.0,6536.0,3093.0,0,4736.0,6450.0,1290.0,0,5714.0,135745.0,0,3153.0
202006,10339.0,0,0.0,0.0,6254.0,0,0,3992.0,3310.0,0,2790.0,16843.0,50880.0,9894.0,0,0.0,7191.0,0,11066.0,11451.0,11725.0,64496.0,0.0,0,0,1284.0,0.0,0,2164.0,0.0,18757.0,6038.0,0,10509.0,7641.0,2938.0,0,10788.0,278807.0,0,8457.0
202007,14876.0,0,0.0,0.0,9036.0,0,0,10335.0,4846.0,0,3535.0,26971.0,74202.0,16073.0,0,30268.0,10949.0,0,14227.0,15330.0,19248.0,117981.0,0.0,0,0,25002.0,0.0,0,3844.0,0.0,41132.0,8611.0,0,15680.0,8976.0,4571.0,0,16569.0,507239.0,0,14977.0
202008,18556.0,0,6953.0,0.0,11799.0,0,0,26451.0,6073.0,0,4256.0,35054.0,83485.0,22788.0,0,85060.0,13247.0,0,17887.0,17985.0,23027.0,134687.0,0.0,0,0,30467.0,0.0,0,4994.0,0.0,44295.0,10920.0,0,18379.0,11516.0,5735.0,0,18842.0,670662.0,0,18206.0
202009,20456.0,0,11142.0,0.0,9939.0,0,0,34910.0,7702.0,0,3518.0,32961.0,85409.0,30904.0,0,86591.0,14208.0,0,16941.0,18928.0,23486.0,114149.0,0.0,0,0,38930.0,0.0,0,5049.0,0.0,27013.0,10922.0,0,15825.0,9904.0,6017.0,0,13847.0,666152.0,0,27401.0
