YearMonth,Green Taxi,Yellow Taxi,For-Hire Vehicle,Unique Drivers,Unique Vehicles
2020-01,416826,6404724,22405033,122067,111493
2020-02,398547,6299264,23398215,120362,109897
2020-03,223355,3006783,14630388,116450,107099
2020-04,35580,237840,4791960,30815,30943
2020-05,57350,348347,6815660,38176,38352
2020-06,63090,549750,8521710,41511,41734
2020-07,72230,800296,10950347,51418,51121
2020-08,81034,1007221,12191959,65434,64399
2020-09,87960,1339380,13232850,67827,66664
2020-10,95077,1680851,14368345,70135,68788
2020-11,88590,1508550,12692340,70948,69628
2020-12,83111,1461495,12745433,69152,68046
2021-01,76477,1365612,12980816,63750,62804
2021-02,64540,1357972,12610388,62603,61759
2021-03,83793,1910933,15532860,68942,67381
2021-04,86880,2159460,15312690,71803,69698
2021-05,88133,2495469,16003905,74973,72661
2021-06,86730,2823900,16289550,78695,76115
2021-07,83638,2821341,16139592,78324,75459
2021-08,83483,2786931,15578120,77731,74877
2021-09,95700,2961720,13824300,86167,82178
2021-10,110794,3460778,17765666,91642,86651
2021-11,108210,3469800,17171700,91918,86824
2021-12,99913,3211135,17396921,95500,90453
