PWGTP,STPUMA,POWSPPUMA,RES,POW,TM,TT
25,03603001,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
34,03603107,03603700,Lower Hudson Valley,Bronx,Bus,30 to 59 Mins
30,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
12,03603204,03603800,Long Island,Manhattan,Subway,60 to 89 Mins
42,03603103,03603800,Lower Hudson Valley,Manhattan,Drive Alone,90 Mins or More
5,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
24,03603205,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
24,03603304,03603800,Long Island,Manhattan,Carpool,60 to 89 Mins
31,03603001,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
16,03603211,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
18,03603103,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
19,03603311,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
14,03603107,03604000,Lower Hudson Valley,Brooklyn,Carpool,60 to 89 Mins
13,03603107,03603800,Lower Hudson Valley,Manhattan,Carpool,30 to 59 Mins
19,03603002,03603800,Lower Hudson Valley,Manhattan,Bus,90 Mins or More
16,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
17,03603107,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
22,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
14,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
19,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
23,03603209,03603800,Long Island,Manhattan,Rail,90 Mins or More
23,03603209,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
43,03603205,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
17,03603208,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
47,03603211,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
13,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
19,03602903,03603800,Mid Hudson Valley,Manhattan,Bus,90 Mins or More
42,03603307,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
31,03603207,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
11,03603313,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
18,03603203,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
42,03603312,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
57,03603312,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
9,03603209,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
13,03603106,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
13,03603204,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
17,03603204,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
20,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
33,03603305,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
9,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
13,03603204,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
13,03603204,03603800,Long Island,Manhattan,Subway,90 Mins or More
16,03603204,03603800,Long Island,Manhattan,Subway,90 Mins or More
16,03603106,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
10,03603003,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
21,03603306,03604100,Long Island,Queens,Rail,60 to 89 Mins
15,03603204,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
23,03603104,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
23,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
36,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
35,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
8,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
8,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
17,03603206,03603800,Long Island,Manhattan,Rail,90 Mins or More
17,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
29,03603311,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
20,03603206,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
24,03603307,03604100,Long Island,Queens,Carpool,30 to 59 Mins
10,03603104,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
12,03603106,03604100,Lower Hudson Valley,Queens,Drive Alone,30 to 59 Mins
12,03603103,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
39,03602903,03604000,Mid Hudson Valley,Brooklyn,Drive Alone,Less than 30 Mins
15,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
6,03603201,03603800,Long Island,Manhattan,Carpool,60 to 89 Mins
14,03603105,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
14,03603205,03603800,Long Island,Manhattan,Rail,90 Mins or More
9,03603202,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
12,03603202,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
5,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
13,03603207,03604100,Long Island,Queens,Rail,60 to 89 Mins
24,03603211,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
45,03603211,03603800,Long Island,Manhattan,Subway,90 Mins or More
65,03603211,03603800,Long Island,Manhattan,Subway,90 Mins or More
30,03603207,03604100,Long Island,Queens,Carpool,60 to 89 Mins
13,03603205,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
12,03603205,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
38,03603211,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
13,03603207,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
13,03603102,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
14,03603302,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
14,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
10,03603208,03603700,Long Island,Bronx,Drive Alone,60 to 89 Mins
14,03603210,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
7,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
11,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
27,03603207,03603800,Long Island,Manhattan,Subway,60 to 89 Mins
33,03603204,03604100,Long Island,Queens,Bus,30 to 59 Mins
8,03603105,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
22,03603305,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
22,03603305,03603800,Long Island,Manhattan,Subway,30 to 59 Mins
22,03602903,03603800,Mid Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
10,03603304,03604000,Long Island,Brooklyn,Rail,90 Mins or More
25,03603212,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
36,03603212,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
27,03603209,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
9,03603104,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
38,03603206,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
9,03603003,03603800,Lower Hudson Valley,Manhattan,Bus,90 Mins or More
17,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
12,03603211,03604000,Long Island,Brooklyn,Drive Alone,90 Mins or More
12,03603210,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
10,03603210,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
11,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
14,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
52,03603106,03603800,Lower Hudson Valley,Manhattan,Drive Alone,Less than 30 Mins
9,03603204,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
7,03603204,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
19,03602701,03603800,Mid Hudson Valley,Manhattan,Subway,60 to 89 Mins
14,03603310,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
32,03603310,03604000,Long Island,Brooklyn,Drive Alone,Less than 30 Mins
20,03603002,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
15,03603202,03603800,Long Island,Manhattan,Subway,30 to 59 Mins
40,03603307,03604000,Long Island,Brooklyn,Bus,30 to 59 Mins
29,03603201,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
21,03603201,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
17,03603304,03603800,Long Island,Manhattan,Rail,90 Mins or More
16,03603209,03603800,Long Island,Manhattan,Rail,90 Mins or More
10,03603201,03603800,Long Island,Manhattan,Subway,90 Mins or More
45,03603313,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
21,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
13,03603211,03604100,Long Island,Queens,Other,Less than 30 Mins
24,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
16,03603202,03604100,Long Island,Queens,Rail,30 to 59 Mins
12,03603313,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
13,03603205,03603800,Long Island,Manhattan,Subway,90 Mins or More
27,03603211,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
25,03603211,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
14,03603209,03603800,Long Island,Manhattan,Other,Less than 30 Mins
19,03603206,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
13,03603001,03603800,Lower Hudson Valley,Manhattan,Other,30 to 59 Mins
17,03603210,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
17,03602903,03604000,Mid Hudson Valley,Brooklyn,Carpool,Less than 30 Mins
26,03603308,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
38,03603308,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
43,03603211,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
26,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
14,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
5,03603201,03603800,Long Island,Manhattan,Subway,30 to 59 Mins
30,03603211,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
13,03603312,03604000,Long Island,Brooklyn,Rail,60 to 89 Mins
23,03602902,03603800,Mid Hudson Valley,Manhattan,Drive Alone,90 Mins or More
8,03602801,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
15,03602801,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
40,03603001,03603800,Lower Hudson Valley,Manhattan,Subway,30 to 59 Mins
16,03602802,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
7,03603201,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
3,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
14,03603202,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
7,03603204,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
12,03603203,03604000,Long Island,Brooklyn,Rail,60 to 89 Mins
22,03603203,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
13,03603312,03603800,Long Island,Manhattan,Rail,90 Mins or More
19,03603001,03604000,Lower Hudson Valley,Brooklyn,Carpool,30 to 59 Mins
22,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
20,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
18,03603203,03603800,Long Island,Manhattan,Rail,90 Mins or More
13,03603205,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
36,03603207,03603800,Long Island,Manhattan,Rail,90 Mins or More
3,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
3,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
27,03603313,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
17,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
50,03603212,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
27,03603203,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
26,03603203,03604100,Long Island,Queens,Carpool,60 to 89 Mins
21,03603203,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
23,03603203,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
45,03602802,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
62,03603106,03603800,Lower Hudson Valley,Manhattan,Subway,60 to 89 Mins
47,03602802,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
9,03603201,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
41,03603107,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
16,03603107,03603700,Lower Hudson Valley,Bronx,Carpool,Less than 30 Mins
20,03602801,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
36,03603210,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
14,03603101,03603800,Lower Hudson Valley,Manhattan,Drive Alone,90 Mins or More
12,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
15,03603310,03603800,Long Island,Manhattan,Carpool,90 Mins or More
20,03603310,03604100,Long Island,Queens,Subway,90 Mins or More
30,03603104,03603700,Lower Hudson Valley,Bronx,Carpool,30 to 59 Mins
25,03603104,03603800,Lower Hudson Valley,Manhattan,Carpool,90 Mins or More
12,03603203,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
12,03603105,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
10,03602801,03603800,Mid Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
10,03602801,03603800,Mid Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
15,03603105,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
16,03603105,03603800,Lower Hudson Valley,Manhattan,Subway,60 to 89 Mins
17,03603105,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
12,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
12,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
12,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
12,03603310,03603800,Long Island,Manhattan,Rail,90 Mins or More
16,03602801,03603800,Mid Hudson Valley,Manhattan,Carpool,90 Mins or More
26,03602901,03603800,Mid Hudson Valley,Manhattan,Bus,Less than 30 Mins
56,03603310,03604100,Long Island,Queens,Carpool,60 to 89 Mins
80,03603310,03603800,Long Island,Manhattan,Carpool,90 Mins or More
11,03603205,03604100,Long Island,Queens,Carpool,30 to 59 Mins
17,03603205,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
23,03603209,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
25,03603209,03604100,Long Island,Queens,Carpool,Less than 30 Mins
39,03603311,03604100,Long Island,Queens,Rail,60 to 89 Mins
23,03603308,03604000,Long Island,Brooklyn,Drive Alone,90 Mins or More
13,03603201,03603800,Long Island,Manhattan,Rail,90 Mins or More
17,03603201,03603800,Long Island,Manhattan,Rail,90 Mins or More
14,03603205,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
9,03603311,03603800,Long Island,Manhattan,Rail,90 Mins or More
15,03603209,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
15,03603302,03604100,Long Island,Queens,Carpool,60 to 89 Mins
13,03603302,03604000,Long Island,Brooklyn,Rail,60 to 89 Mins
13,03603104,03603800,Lower Hudson Valley,Manhattan,Subway,60 to 89 Mins
20,03603102,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
36,03603207,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
31,03603203,03604100,Long Island,Queens,Rail,30 to 59 Mins
19,03603209,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
13,03603209,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
15,03603208,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
13,03603202,03603800,Long Island,Manhattan,Subway,60 to 89 Mins
7,03602802,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
38,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
28,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
20,03603207,03604100,Long Island,Queens,Rail,60 to 89 Mins
25,03603207,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
24,03603102,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
21,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
14,03603205,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
13,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
5,03603202,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
72,03603302,03603800,Long Island,Manhattan,Rail,90 Mins or More
83,03603302,03604000,Long Island,Brooklyn,Rail,60 to 89 Mins
20,03602903,03603800,Mid Hudson Valley,Manhattan,Drive Alone,90 Mins or More
15,03603201,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
13,03603201,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
14,03603201,03604100,Long Island,Queens,Bus,60 to 89 Mins
14,03602802,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
17,03603102,03604000,Lower Hudson Valley,Brooklyn,Rail,60 to 89 Mins
30,03603301,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
11,03603106,03603700,Lower Hudson Valley,Bronx,Bus,30 to 59 Mins
58,03603206,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
16,03603208,03604100,Long Island,Queens,Drive Alone,90 Mins or More
49,03603208,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
12,03603208,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
9,03603101,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
22,03603107,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
32,03603107,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
42,03603107,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
60,03603201,03604000,Long Island,Brooklyn,Carpool,30 to 59 Mins
62,03603201,03604100,Long Island,Queens,Carpool,30 to 59 Mins
19,03603107,03604100,Lower Hudson Valley,Queens,Drive Alone,30 to 59 Mins
9,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
8,03603204,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
16,03603107,03603800,Lower Hudson Valley,Manhattan,Carpool,60 to 89 Mins
12,03603312,03604100,Long Island,Queens,Drive Alone,90 Mins or More
12,03603312,03603800,Long Island,Manhattan,Rail,90 Mins or More
16,03602903,03603800,Mid Hudson Valley,Manhattan,Drive Alone,90 Mins or More
26,03603207,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
16,03603303,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
23,03603313,03603700,Long Island,Bronx,Drive Alone,90 Mins or More
14,03603210,03603800,Long Island,Manhattan,Rail,90 Mins or More
15,03603210,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
11,03602903,03604000,Mid Hudson Valley,Brooklyn,Bus,60 to 89 Mins
15,03603308,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
13,03602903,03604100,Mid Hudson Valley,Queens,Drive Alone,30 to 59 Mins
9,03603207,03604100,Long Island,Queens,Drive Alone,90 Mins or More
15,03603105,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
7,03603313,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
16,03603204,03603800,Long Island,Manhattan,Carpool,60 to 89 Mins
15,03603204,03603800,Long Island,Manhattan,Subway,90 Mins or More
66,03603205,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
72,03603205,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
17,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
21,03603312,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
16,03603208,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
17,03603208,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
15,03603210,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
19,03603210,03604100,Long Island,Queens,Rail,60 to 89 Mins
70,03603205,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
6,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
13,03603205,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
17,03603212,03603800,Long Island,Manhattan,Rail,90 Mins or More
47,03603209,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
42,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
11,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
22,03603210,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
25,03603210,03603700,Long Island,Bronx,Drive Alone,30 to 59 Mins
17,03603313,03603800,Long Island,Manhattan,Carpool,60 to 89 Mins
15,03603301,03603800,Long Island,Manhattan,Rail,90 Mins or More
10,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
9,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
18,03603208,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
21,03603210,03603800,Long Island,Manhattan,Rail,90 Mins or More
15,03603311,03603800,Long Island,Manhattan,Rail,90 Mins or More
14,03603204,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
18,03603204,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
16,03603001,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
13,03603207,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
13,03603207,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
17,03603302,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
20,03603211,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
19,03603104,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
14,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
10,03602801,03603800,Mid Hudson Valley,Manhattan,Subway,30 to 59 Mins
11,03603301,03603800,Long Island,Manhattan,Rail,90 Mins or More
12,03603212,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
14,03603205,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
71,03603106,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
8,03603207,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
10,03603309,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
8,03602801,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
7,03603201,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
15,03603003,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
14,03603003,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
13,03603107,03603700,Lower Hudson Valley,Bronx,Carpool,30 to 59 Mins
27,03602701,03603800,Mid Hudson Valley,Manhattan,Bus,Less than 30 Mins
35,03603212,03604100,Long Island,Queens,Carpool,60 to 89 Mins
49,03603212,03603800,Long Island,Manhattan,Rail,90 Mins or More
14,03603206,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
27,03603313,03603700,Long Island,Bronx,Drive Alone,60 to 89 Mins
14,03603205,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
15,03603205,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
15,03603205,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
15,03603205,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
15,03603302,03604100,Long Island,Queens,Rail,30 to 59 Mins
11,03603302,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
8,03602801,03603800,Mid Hudson Valley,Manhattan,Drive Alone,90 Mins or More
18,03603208,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
18,03603211,03603800,Long Island,Manhattan,Rail,Less than 30 Mins
14,03603103,03604000,Lower Hudson Valley,Brooklyn,Drive Alone,60 to 89 Mins
14,03603205,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
50,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
13,03603103,03603800,Lower Hudson Valley,Manhattan,Subway,60 to 89 Mins
12,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
17,03602801,03604100,Mid Hudson Valley,Queens,Drive Alone,90 Mins or More
10,03602802,03603700,Mid Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
37,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
21,03603312,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
29,03603304,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
15,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
33,03603003,03604000,Lower Hudson Valley,Brooklyn,Drive Alone,60 to 89 Mins
