PWGTP,RES,POW
14,Long Island,Queens
32,Long Island,Brooklyn
24,New York Other,Brooklyn
20,Mid-Hudson,Manhattan
15,Long Island,Manhattan
40,Long Island,Brooklyn
29,Long Island,Queens
21,Long Island,Queens
6,New York Other,Manhattan
10,New York Other,Manhattan
17,Long Island,Manhattan
16,Long Island,Manhattan
10,Long Island,Manhattan
45,Long Island,Manhattan
21,Mid-Hudson,Manhattan
13,Long Island,Queens
19,New York Other,Manhattan
24,Mid-Hudson,Manhattan
16,Long Island,Queens
12,Long Island,Manhattan
13,Long Island,Manhattan
27,Long Island,Manhattan
25,Long Island,Queens
14,Long Island,Manhattan
19,Long Island,Manhattan
13,Mid-Hudson,Manhattan
17,Long Island,Queens
17,Mid-Hudson,Brooklyn
26,Long Island,Brooklyn
38,Long Island,Brooklyn
43,Long Island,Manhattan
26,Mid-Hudson,Manhattan
14,Long Island,Manhattan
5,Long Island,Manhattan
30,Long Island,Queens
13,Long Island,Brooklyn
23,Mid-Hudson,Manhattan
8,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
40,Mid-Hudson,Manhattan
16,Mid-Hudson,Manhattan
7,Long Island,Queens
3,Long Island,Manhattan
14,Long Island,Queens
7,Long Island,Manhattan
12,Long Island,Brooklyn
22,Long Island,Queens
13,Long Island,Manhattan
19,Mid-Hudson,Brooklyn
22,Mid-Hudson,Manhattan
20,Mid-Hudson,Manhattan
18,Long Island,Manhattan
13,Long Island,Queens
36,Long Island,Manhattan
3,Long Island,Manhattan
3,Long Island,Manhattan
27,Long Island,Manhattan
17,Mid-Hudson,Manhattan
50,Long Island,Queens
27,Long Island,Queens
26,Long Island,Queens
21,Long Island,Brooklyn
23,Long Island,Manhattan
45,Mid-Hudson,Manhattan
62,Mid-Hudson,Manhattan
47,Mid-Hudson,Manhattan
9,Long Island,Manhattan
41,Mid-Hudson,Bronx
16,Mid-Hudson,Bronx
20,Mid-Hudson,Manhattan
36,Long Island,Queens
14,Mid-Hudson,Manhattan
12,Long Island,Queens
2,New York Other,Brooklyn
15,Long Island,Manhattan
20,Long Island,Queens
30,Mid-Hudson,Bronx
25,Mid-Hudson,Manhattan
12,Long Island,Queens
12,Mid-Hudson,Manhattan
10,Mid-Hudson,Manhattan
10,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
16,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
12,Long Island,Manhattan
16,Mid-Hudson,Manhattan
26,Mid-Hudson,Manhattan
56,Long Island,Queens
80,Long Island,Manhattan
11,Long Island,Queens
17,Long Island,Manhattan
23,Long Island,Manhattan
25,Long Island,Queens
39,Long Island,Queens
23,Long Island,Brooklyn
13,Long Island,Manhattan
17,Long Island,Manhattan
14,Long Island,Queens
9,Long Island,Manhattan
15,Long Island,Manhattan
15,Long Island,Queens
13,Long Island,Brooklyn
19,New York Other,Bronx
13,Mid-Hudson,Manhattan
20,Mid-Hudson,Bronx
36,Long Island,Queens
31,Long Island,Queens
19,Long Island,Manhattan
13,Long Island,Manhattan
15,Long Island,Queens
13,Long Island,Manhattan
7,Mid-Hudson,Manhattan
38,Mid-Hudson,Manhattan
28,Mid-Hudson,Manhattan
20,Long Island,Queens
25,Long Island,Manhattan
24,Mid-Hudson,Bronx
21,Mid-Hudson,Manhattan
14,Long Island,Queens
13,Mid-Hudson,Manhattan
5,Long Island,Queens
72,Long Island,Manhattan
83,Long Island,Brooklyn
20,Mid-Hudson,Manhattan
15,Long Island,Brooklyn
13,Long Island,Queens
14,Long Island,Queens
14,Mid-Hudson,Manhattan
17,Mid-Hudson,Brooklyn
30,Long Island,Manhattan
17,New York Other,Bronx
11,Mid-Hudson,Bronx
58,Long Island,Manhattan
16,Long Island,Queens
49,Long Island,Manhattan
12,Long Island,Manhattan
9,Mid-Hudson,Manhattan
22,Mid-Hudson,Manhattan
32,Mid-Hudson,Bronx
42,Mid-Hudson,Bronx
60,Long Island,Brooklyn
62,Long Island,Queens
19,Mid-Hudson,Queens
9,Long Island,Manhattan
8,Long Island,Manhattan
16,Mid-Hudson,Manhattan
12,Long Island,Queens
12,Long Island,Manhattan
16,Mid-Hudson,Manhattan
26,Long Island,Brooklyn
16,Long Island,Queens
23,Long Island,Bronx
14,Long Island,Manhattan
15,Long Island,Manhattan
11,Mid-Hudson,Brooklyn
15,Long Island,Manhattan
13,Mid-Hudson,Queens
9,Long Island,Queens
15,Mid-Hudson,Manhattan
7,Long Island,Brooklyn
16,Long Island,Manhattan
15,Long Island,Manhattan
39,New York Other,Brooklyn
66,Long Island,Queens
72,Long Island,Brooklyn
17,Mid-Hudson,Manhattan
21,Long Island,Manhattan
16,Long Island,Manhattan
17,Long Island,Manhattan
15,Long Island,Manhattan
19,Long Island,Queens
70,Long Island,Queens
6,Long Island,Manhattan
13,Long Island,Manhattan
17,Long Island,Manhattan
47,Long Island,Manhattan
42,Long Island,Manhattan
11,Long Island,Manhattan
22,Long Island,Queens
25,Long Island,Bronx
17,Long Island,Manhattan
15,Long Island,Manhattan
10,Long Island,Manhattan
9,Long Island,Manhattan
18,Long Island,Manhattan
21,Long Island,Manhattan
15,Long Island,Manhattan
14,Long Island,Queens
18,Long Island,Brooklyn
16,Mid-Hudson,Manhattan
13,Long Island,Queens
13,Long Island,Queens
17,Long Island,Manhattan
20,Long Island,Queens
19,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
10,Mid-Hudson,Manhattan
11,Long Island,Manhattan
12,Long Island,Queens
14,Long Island,Queens
71,Mid-Hudson,Manhattan
8,Long Island,Manhattan
10,Long Island,Queens
8,Mid-Hudson,Manhattan
7,Long Island,Queens
15,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
13,Mid-Hudson,Bronx
27,Mid-Hudson,Manhattan
35,Long Island,Queens
49,Long Island,Manhattan
14,Long Island,Queens
27,Long Island,Bronx
14,Long Island,Brooklyn
15,Long Island,Manhattan
15,Long Island,Queens
15,Long Island,Manhattan
15,Long Island,Queens
11,Long Island,Manhattan
8,Mid-Hudson,Manhattan
18,Long Island,Manhattan
18,Long Island,Manhattan
14,Mid-Hudson,Brooklyn
14,Long Island,Queens
50,Long Island,Queens
13,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
17,Mid-Hudson,Queens
10,Mid-Hudson,Bronx
37,Long Island,Queens
21,Long Island,Manhattan
29,Long Island,Manhattan
15,Mid-Hudson,Manhattan
33,Mid-Hudson,Brooklyn
7,Long Island,Manhattan
7,Long Island,Manhattan
7,Mid-Hudson,Bronx
28,Mid-Hudson,Bronx
20,New York Other,Manhattan
16,Mid-Hudson,Manhattan
29,Mid-Hudson,Bronx
38,Mid-Hudson,Manhattan
3,Long Island,Queens
13,Mid-Hudson,Manhattan
15,Long Island,Manhattan
15,Mid-Hudson,Manhattan
24,Long Island,Manhattan
20,Long Island,Brooklyn
25,Long Island,Queens
15,Long Island,Queens
19,Long Island,Manhattan
9,Mid-Hudson,Manhattan
9,Mid-Hudson,Manhattan
29,Long Island,Manhattan
17,Long Island,Queens
115,Mid-Hudson,Queens
21,Long Island,Manhattan
12,Long Island,Queens
25,Mid-Hudson,Manhattan
72,Mid-Hudson,Manhattan
9,Mid-Hudson,Manhattan
20,Long Island,Queens
15,Long Island,Manhattan
49,Mid-Hudson,Manhattan
27,Long Island,Manhattan
15,Long Island,Queens
17,Long Island,Queens
11,Long Island,Queens
22,Long Island,Queens
14,Long Island,Queens
18,Mid-Hudson,Manhattan
16,Long Island,Manhattan
15,Long Island,Queens
11,Mid-Hudson,Manhattan
15,Mid-Hudson,Bronx
15,Long Island,Queens
11,Long Island,Queens
17,Long Island,Brooklyn
11,Long Island,Queens
13,Long Island,Manhattan
20,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
28,New York Other,Queens
12,Long Island,Brooklyn
13,Long Island,Manhattan
17,Long Island,Manhattan
15,Mid-Hudson,Bronx
12,Mid-Hudson,Bronx
24,Mid-Hudson,Manhattan
23,Long Island,Manhattan
59,Long Island,Manhattan
26,Mid-Hudson,Bronx
68,Long Island,Brooklyn
22,Long Island,Brooklyn
24,Long Island,Manhattan
36,Long Island,Manhattan
15,Long Island,Manhattan
19,Long Island,Queens
14,Mid-Hudson,Queens
15,Long Island,Queens
15,Long Island,Manhattan
22,Long Island,Bronx
9,Mid-Hudson,Bronx
8,Mid-Hudson,Manhattan
19,Mid-Hudson,Manhattan
34,Long Island,Brooklyn
35,Long Island,Brooklyn
17,Long Island,Queens
14,Long Island,Brooklyn
12,Long Island,Queens
15,Long Island,Queens
17,Long Island,Manhattan
4,Mid-Hudson,Queens
9,Long Island,Manhattan
4,Long Island,Manhattan
16,Mid-Hudson,Manhattan
8,Mid-Hudson,Bronx
55,Long Island,Queens
12,Long Island,Manhattan
17,Long Island,Manhattan
14,Long Island,Manhattan
24,Mid-Hudson,Manhattan
14,Long Island,Brooklyn
20,Long Island,Brooklyn
19,Long Island,Brooklyn
4,Long Island,Manhattan
20,Mid-Hudson,Manhattan
13,Mid-Hudson,Manhattan
15,Mid-Hudson,Queens
23,Mid-Hudson,Bronx
24,Mid-Hudson,Manhattan
25,Long Island,Queens
12,Long Island,Manhattan
20,Mid-Hudson,Bronx
11,Long Island,Manhattan
12,Long Island,Brooklyn
15,Long Island,Manhattan
25,Long Island,Queens
8,Mid-Hudson,Brooklyn
9,Long Island,Queens
11,Mid-Hudson,Manhattan
23,Long Island,Manhattan
37,Long Island,Manhattan
35,Long Island,Manhattan
16,Long Island,Queens
11,Mid-Hudson,Brooklyn
2,Long Island,Manhattan
12,Long Island,Manhattan
43,Long Island,Manhattan
26,Mid-Hudson,Queens
8,Mid-Hudson,Brooklyn
11,Mid-Hudson,Manhattan
16,Long Island,Brooklyn
21,Long Island,Manhattan
6,Long Island,Queens
11,Long Island,Manhattan
18,Long Island,Manhattan
20,Mid-Hudson,Bronx
14,Mid-Hudson,Bronx
6,Long Island,Queens
11,Mid-Hudson,Manhattan
9,Mid-Hudson,Bronx
14,Mid-Hudson,Manhattan
28,Long Island,Brooklyn
35,Long Island,Queens
14,Mid-Hudson,Brooklyn
13,Mid-Hudson,Brooklyn
14,Long Island,Manhattan
6,Long Island,Manhattan
49,Long Island,Queens
13,Long Island,Brooklyn
33,Long Island,Queens
30,Long Island,Queens
35,Long Island,Queens
48,Long Island,Queens
37,Long Island,Queens
18,Long Island,Queens
13,Long Island,Manhattan
26,Mid-Hudson,Manhattan
14,Mid-Hudson,Brooklyn
12,Mid-Hudson,Manhattan
24,Mid-Hudson,Manhattan
21,Long Island,Queens
21,Long Island,Manhattan
8,Mid-Hudson,Manhattan
11,Long Island,Manhattan
10,Long Island,Queens
16,Long Island,Queens
10,Mid-Hudson,Manhattan
16,Long Island,Queens
25,Mid-Hudson,Bronx
15,Mid-Hudson,Manhattan
20,Mid-Hudson,Manhattan
9,Long Island,Queens
29,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
12,New York Other,Queens
11,New York Other,Queens
21,Mid-Hudson,Manhattan
22,Long Island,Manhattan
14,Long Island,Manhattan
61,Mid-Hudson,Manhattan
15,Long Island,Queens
14,Mid-Hudson,Bronx
59,Long Island,Queens
23,Long Island,Brooklyn
10,Long Island,Manhattan
16,Long Island,Brooklyn
17,Long Island,Queens
21,Long Island,Manhattan
6,Mid-Hudson,Manhattan
27,Long Island,Queens
28,Long Island,Brooklyn
15,Mid-Hudson,Manhattan
17,Long Island,Queens
16,Long Island,Queens
15,Mid-Hudson,Bronx
15,Long Island,Queens
10,Long Island,Manhattan
16,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
12,Long Island,Brooklyn
16,Long Island,Manhattan
13,Long Island,Brooklyn
12,Long Island,Brooklyn
14,Long Island,Brooklyn
8,Long Island,Manhattan
14,Long Island,Queens
20,Long Island,Brooklyn
12,Long Island,Queens
12,Long Island,Manhattan
3,Mid-Hudson,Manhattan
8,Mid-Hudson,Manhattan
4,New York Other,Manhattan
39,Mid-Hudson,Bronx
26,Mid-Hudson,Manhattan
14,Long Island,Manhattan
16,Mid-Hudson,Manhattan
13,Long Island,Brooklyn
11,Long Island,Manhattan
12,Long Island,Manhattan
14,Long Island,Queens
16,Long Island,Manhattan
13,Long Island,Manhattan
24,Mid-Hudson,Manhattan
19,Long Island,Manhattan
16,Mid-Hudson,Manhattan
29,Mid-Hudson,Manhattan
19,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
20,Long Island,Queens
17,Mid-Hudson,Manhattan
18,Long Island,Manhattan
13,Long Island,Queens
24,Long Island,Manhattan
3,Long Island,Queens
17,Mid-Hudson,Manhattan
38,Mid-Hudson,Brooklyn
9,Long Island,Queens
23,Mid-Hudson,Manhattan
13,Long Island,Manhattan
14,Long Island,Manhattan
23,Mid-Hudson,Manhattan
20,Mid-Hudson,Bronx
16,Long Island,Queens
15,Long Island,Manhattan
26,Long Island,Manhattan
29,Mid-Hudson,Manhattan
22,Long Island,Manhattan
14,Long Island,Manhattan
12,Long Island,Manhattan
17,Long Island,Manhattan
4,Long Island,Manhattan
31,Long Island,Staten Island
25,Mid-Hudson,Manhattan
21,Mid-Hudson,Manhattan
13,Long Island,Queens
14,Long Island,Queens
19,Long Island,Brooklyn
14,Mid-Hudson,Bronx
12,Mid-Hudson,Manhattan
10,Long Island,Queens
4,Mid-Hudson,Manhattan
22,Long Island,Manhattan
17,Long Island,Manhattan
4,Long Island,Queens
5,Long Island,Queens
4,Long Island,Brooklyn
20,Mid-Hudson,Manhattan
22,Long Island,Queens
22,Long Island,Manhattan
14,Long Island,Queens
12,Mid-Hudson,Manhattan
10,Long Island,Manhattan
12,Long Island,Manhattan
38,Mid-Hudson,Bronx
12,Long Island,Queens
15,Long Island,Manhattan
15,Long Island,Manhattan
14,Long Island,Manhattan
15,Long Island,Queens
17,Long Island,Brooklyn
20,Long Island,Manhattan
17,Mid-Hudson,Queens
23,Mid-Hudson,Manhattan
3,Long Island,Manhattan
23,Mid-Hudson,Manhattan
15,Mid-Hudson,Bronx
5,Mid-Hudson,Manhattan
25,Long Island,Manhattan
22,Long Island,Queens
3,New York Other,Bronx
2,Long Island,Manhattan
13,Long Island,Manhattan
56,Long Island,Manhattan
30,Mid-Hudson,Bronx
33,Mid-Hudson,Bronx
23,Long Island,Brooklyn
15,Mid-Hudson,Brooklyn
25,Long Island,Queens
6,Mid-Hudson,Brooklyn
5,Long Island,Manhattan
5,New York Other,Brooklyn
54,Long Island,Manhattan
16,Long Island,Brooklyn
11,Mid-Hudson,Manhattan
24,Long Island,Manhattan
17,Long Island,Brooklyn
46,Mid-Hudson,Manhattan
12,Long Island,Manhattan
38,Mid-Hudson,Manhattan
17,Long Island,Manhattan
26,Long Island,Manhattan
25,Long Island,Manhattan
23,Long Island,Manhattan
8,Long Island,Queens
22,Mid-Hudson,Manhattan
24,Mid-Hudson,Manhattan
14,Long Island,Manhattan
33,Mid-Hudson,Manhattan
17,Long Island,Manhattan
4,Long Island,Manhattan
18,Long Island,Queens
17,Long Island,Manhattan
17,Long Island,Brooklyn
4,New York Other,Manhattan
40,Mid-Hudson,Manhattan
15,Long Island,Manhattan
14,Long Island,Queens
16,Mid-Hudson,Manhattan
4,Long Island,Brooklyn
4,Long Island,Brooklyn
15,Mid-Hudson,Manhattan
15,Long Island,Queens
26,Long Island,Brooklyn
62,Mid-Hudson,Manhattan
6,Mid-Hudson,Manhattan
7,Mid-Hudson,Queens
9,Mid-Hudson,Manhattan
4,Long Island,Manhattan
4,Long Island,Queens
17,Mid-Hudson,Bronx
21,Mid-Hudson,Manhattan
4,New York Other,Manhattan
13,Mid-Hudson,Manhattan
25,Mid-Hudson,Bronx
13,Mid-Hudson,Manhattan
13,Long Island,Manhattan
42,Long Island,Queens
14,Long Island,Queens
13,Long Island,Queens
58,Mid-Hudson,Manhattan
57,Mid-Hudson,Manhattan
9,Long Island,Manhattan
9,Long Island,Manhattan
13,Long Island,Manhattan
15,Mid-Hudson,Brooklyn
13,Mid-Hudson,Manhattan
18,Long Island,Queens
11,Mid-Hudson,Manhattan
9,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
2,Long Island,Manhattan
30,Long Island,Queens
13,Long Island,Queens
24,Long Island,Manhattan
27,Long Island,Bronx
47,Mid-Hudson,Bronx
11,Long Island,Manhattan
14,Mid-Hudson,Bronx
16,Mid-Hudson,Manhattan
31,Long Island,Manhattan
14,Long Island,Manhattan
20,Mid-Hudson,Manhattan
22,Mid-Hudson,Brooklyn
17,Mid-Hudson,Bronx
12,Mid-Hudson,Queens
13,Long Island,Manhattan
11,Long Island,Manhattan
18,Mid-Hudson,Queens
15,Long Island,Manhattan
31,Long Island,Queens
43,Long Island,Manhattan
17,Mid-Hudson,Manhattan
43,Mid-Hudson,Manhattan
37,Mid-Hudson,Manhattan
39,Long Island,Queens
40,Long Island,Queens
32,Mid-Hudson,Bronx
18,Mid-Hudson,Manhattan
16,Mid-Hudson,Bronx
12,Long Island,Manhattan
13,Long Island,Manhattan
35,Long Island,Manhattan
23,Long Island,Queens
32,Mid-Hudson,Manhattan
12,Mid-Hudson,Bronx
25,Long Island,Manhattan
35,Long Island,Manhattan
36,Long Island,Manhattan
48,Long Island,Queens
46,Long Island,Queens
28,Long Island,Queens
29,Mid-Hudson,Bronx
31,Long Island,Queens
16,Mid-Hudson,Brooklyn
17,Mid-Hudson,Manhattan
13,Long Island,Manhattan
4,Long Island,Manhattan
4,Long Island,Manhattan
29,Mid-Hudson,Manhattan
22,Mid-Hudson,Bronx
26,Mid-Hudson,Manhattan
10,Long Island,Manhattan
16,Long Island,Manhattan
14,Long Island,Queens
15,Mid-Hudson,Manhattan
34,Mid-Hudson,Queens
12,Long Island,Brooklyn
15,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
24,Mid-Hudson,Manhattan
10,Mid-Hudson,Manhattan
10,Long Island,Manhattan
12,Long Island,Queens
18,Long Island,Queens
16,Long Island,Manhattan
15,Mid-Hudson,Queens
8,Mid-Hudson,Manhattan
21,Long Island,Queens
20,Mid-Hudson,Manhattan
23,Mid-Hudson,Manhattan
15,Mid-Hudson,Bronx
19,Mid-Hudson,Brooklyn
33,Long Island,Manhattan
14,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
18,Mid-Hudson,Bronx
26,Mid-Hudson,Bronx
13,Long Island,Manhattan
12,Long Island,Queens
78,Long Island,Manhattan
79,Long Island,Manhattan
18,Mid-Hudson,Brooklyn
19,Mid-Hudson,Manhattan
44,Mid-Hudson,Bronx
31,Mid-Hudson,Bronx
38,Long Island,Manhattan
40,Long Island,Queens
10,Mid-Hudson,Manhattan
15,Long Island,Manhattan
15,Long Island,Brooklyn
15,Mid-Hudson,Bronx
51,Long Island,Manhattan
47,Long Island,Manhattan
36,Mid-Hudson,Manhattan
36,Long Island,Queens
10,Long Island,Bronx
53,Mid-Hudson,Manhattan
34,Mid-Hudson,Manhattan
9,Mid-Hudson,Manhattan
32,Long Island,Queens
15,Mid-Hudson,Manhattan
55,Long Island,Manhattan
21,Long Island,Brooklyn
15,Long Island,Manhattan
20,Long Island,Manhattan
10,Long Island,Brooklyn
11,Long Island,Queens
21,Long Island,Manhattan
29,Long Island,Manhattan
13,Long Island,Queens
13,Mid-Hudson,Manhattan
23,Mid-Hudson,Bronx
20,Mid-Hudson,Manhattan
8,Mid-Hudson,Manhattan
23,Mid-Hudson,Manhattan
16,Long Island,Manhattan
17,Mid-Hudson,Brooklyn
22,Long Island,Queens
1,Mid-Hudson,Manhattan
15,Long Island,Manhattan
22,Mid-Hudson,Manhattan
16,Long Island,Manhattan
8,Long Island,Brooklyn
9,Long Island,Manhattan
25,Long Island,Manhattan
25,Long Island,Queens
32,Long Island,Queens
19,Long Island,Manhattan
84,Long Island,Brooklyn
6,Long Island,Manhattan
11,Long Island,Manhattan
32,Mid-Hudson,Manhattan
18,Long Island,Manhattan
14,Long Island,Manhattan
99,Mid-Hudson,Queens
15,Long Island,Manhattan
13,Long Island,Manhattan
15,Long Island,Brooklyn
20,Mid-Hudson,Manhattan
44,Long Island,Manhattan
20,Long Island,Manhattan
14,Mid-Hudson,Bronx
15,Long Island,Manhattan
46,Mid-Hudson,Manhattan
47,Long Island,Queens
51,Long Island,Queens
15,Long Island,Queens
15,Long Island,Brooklyn
36,Mid-Hudson,Manhattan
27,Mid-Hudson,Manhattan
16,Long Island,Manhattan
22,Mid-Hudson,Manhattan
13,Long Island,Manhattan
16,Mid-Hudson,Manhattan
18,Long Island,Brooklyn
18,Long Island,Manhattan
18,Mid-Hudson,Manhattan
20,Long Island,Queens
24,Long Island,Queens
12,Long Island,Manhattan
15,Mid-Hudson,Bronx
16,Mid-Hudson,Bronx
11,Long Island,Queens
28,Long Island,Queens
23,Long Island,Queens
30,Long Island,Manhattan
16,Long Island,Queens
9,Long Island,Bronx
15,Mid-Hudson,Manhattan
16,Mid-Hudson,Manhattan
9,Mid-Hudson,Manhattan
16,Long Island,Manhattan
16,Long Island,Manhattan
28,Long Island,Manhattan
19,Long Island,Manhattan
13,Mid-Hudson,Brooklyn
75,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
15,Mid-Hudson,Bronx
15,Mid-Hudson,Manhattan
17,Mid-Hudson,Bronx
18,Long Island,Manhattan
24,Mid-Hudson,Bronx
14,Mid-Hudson,Manhattan
19,Mid-Hudson,Manhattan
13,Mid-Hudson,Manhattan
21,Long Island,Queens
9,Long Island,Bronx
13,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
20,Mid-Hudson,Brooklyn
30,Long Island,Queens
26,Long Island,Brooklyn
37,Mid-Hudson,Queens
22,Long Island,Manhattan
23,Long Island,Queens
27,Long Island,Manhattan
32,Mid-Hudson,Manhattan
7,Long Island,Manhattan
22,Mid-Hudson,Manhattan
18,Mid-Hudson,Manhattan
16,Long Island,Brooklyn
11,Long Island,Queens
15,Mid-Hudson,Queens
26,Long Island,Queens
8,Mid-Hudson,Manhattan
2,Mid-Hudson,Manhattan
11,Long Island,Queens
16,Mid-Hudson,Manhattan
16,Mid-Hudson,Bronx
16,Mid-Hudson,Queens
13,Long Island,Queens
18,Mid-Hudson,Bronx
13,Long Island,Manhattan
13,Long Island,Queens
20,Long Island,Manhattan
34,Long Island,Queens
8,Long Island,Manhattan
63,Long Island,Manhattan
67,Long Island,Queens
13,Mid-Hudson,Manhattan
19,Long Island,Queens
9,Long Island,Manhattan
8,Long Island,Manhattan
21,Long Island,Brooklyn
11,Long Island,Queens
23,Long Island,Manhattan
31,Long Island,Manhattan
16,Mid-Hudson,Bronx
19,Mid-Hudson,Manhattan
19,Mid-Hudson,Manhattan
51,Long Island,Manhattan
10,Long Island,Manhattan
60,Long Island,Manhattan
13,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
26,Mid-Hudson,Manhattan
11,Mid-Hudson,Bronx
23,Long Island,Queens
17,Mid-Hudson,Brooklyn
14,Mid-Hudson,Manhattan
43,Long Island,Manhattan
16,Long Island,Manhattan
15,Long Island,Manhattan
15,Long Island,Manhattan
9,Long Island,Manhattan
16,Long Island,Manhattan
20,Long Island,Queens
14,Mid-Hudson,Manhattan
6,Mid-Hudson,Manhattan
23,Long Island,Manhattan
15,Long Island,Queens
18,Long Island,Queens
44,Mid-Hudson,Manhattan
35,Long Island,Manhattan
19,Long Island,Manhattan
14,Long Island,Queens
14,Long Island,Manhattan
2,New York Other,Manhattan
50,Mid-Hudson,Manhattan
25,Mid-Hudson,Bronx
