Date,Subways: Total Estimated Ridership,Subways: Average Estimated Ridership ,Buses: Total Estimated Ridership,Buses: Average Estimated Ridership
4/8/2021,2017306,1686669,1177833,974661
4/7/2021,1989179,1662089,1172362,953572
4/6/2021,1946071,1636788,1155101,928359
4/5/2021,1822134,1628113,1088750,917542
4/4/2021,951260,1617171,519812,905234
4/3/2021,1319964,1596598,750682,896682
4/2/2021,1760768,1604355,958085,901154
4/1/2021,1845249,1630214,1030209,920249
3/31/2021,1812072,1642252,995873,934214
3/30/2021,1885343,1645051,1079381,945656
3/29/2021,1745540,1644759,1002597,953388
3/28/2021,807247,1653265,459949,966623
3/27/2021,1374266,1682714,781981,983681
3/26/2021,1941782,1673162,1091753,981814
3/25/2021,1929515,1668633,1127964,980656
3/24/2021,1831662,1646470,1075968,965157
3/23/2021,1883301,1651930,1133504,969158
3/22/2021,1805084,1640270,1095241,958969
3/21/2021,1013386,1630013,579358,948790
3/20/2021,1307403,1617239,768908,941990
3/19/2021,1910080,1610092,1083647,936463
3/18/2021,1774375,1611219,1019472,937711
3/17/2021,1869879,1627106,1103979,950287
3/16/2021,1801682,1624653,1062179,950377
3/15/2021,1733288,1629794,1023990,956064
3/14/2021,923968,1628314,531754,958318
3/13/2021,1257372,1624058,730218,957486
3/12/2021,1917972,1611275,1092388,952700
3/11/2021,1885584,1598591,1107502,945417
3/10/2021,1852702,1588107,1104610,941208
3/9/2021,1837670,1587721,1101988,943283
3/8/2021,1722930,1575623,1039763,932215
3/7/2021,894177,1572291,525930,929511
3/6/2021,1167887,1560415,696719,924599
3/5/2021,1829185,1547039,1041408,915899
3/4/2021,1812200,1546609,1078036,919323
3/3/2021,1850000,1545110,1119137,918092
3/2/2021,1752983,1539374,1024511,915266
3/1/2021,1699607,1536606,1020837,917535
2/28/2021,811043,1520252,491545,904189
2/27/2021,1074256,1523968,635820,907785
2/26/2021,1826171,1529356,1065376,913988
2/25/2021,1801708,1492578,1069420,877407
2/24/2021,1809852,1432964,1099351,828340
2/23/2021,1733604,1422486,1040398,822962
2/22/2021,1585133,1407791,927414,811937
2/21/2021,837051,1355680,516715,783223
2/20/2021,1111970,1358798,679240,777881
2/19/2021,1568728,1356125,809308,774652
2/18/2021,1384407,1376200,725951,796953
2/17/2021,1736509,1423829,1061711,836867
2/16/2021,1630739,1426242,963223,835483
2/15/2021,1220357,1431792,726412,839635
2/14/2021,858877,1492145,479319,873578
2/13/2021,1093261,1462771,656637,857546
2/12/2021,1709253,1470842,965421,865986
2/11/2021,1717804,1475824,1005348,871179
2/10/2021,1753405,1486026,1052021,875242
2/9/2021,1669590,1479204,992290,860624
2/8/2021,1642828,1384620,964007,796450
2/7/2021,653257,1233386,367095,706911
2/6/2021,1149757,1243416,715717,715603
2/5/2021,1744130,1213941,1001775,694335
2/4/2021,1789214,1181111,1033791,667262
2/3/2021,1705655,1161226,949695,655321
2/2/2021,1007502,1155186,543073,663192
2/1/2021,584184,1233245,337228,715836
1/31/2021,723473,1377747,427945,807516
1/30/2021,943426,1380388,566837,811838
1/29/2021,1514326,1388279,812264,819386
1/28/2021,1650014,1411257,950205,848860
1/27/2021,1663376,1412127,1004792,856980
1/26/2021,1553918,1399936,911579,845063
1/25/2021,1595694,1412125,978987,859639
1/24/2021,741960,1366900,458203,829345
1/23/2021,998665,1374986,619673,835892
1/22/2021,1675175,1374120,1018584,839599
1/21/2021,1656100,1367680,1007042,834347
1/20/2021,1578038,1366899,921371,835878
1/19/2021,1639243,1376438,1013616,846631
1/18/2021,1279119,1377078,766926,844297
1/17/2021,798564,1418823,504031,872810
1/16/2021,992599,1413841,645625,872440
1/15/2021,1630098,1413643,981817,872133
1/14/2021,1650630,1412523,1017757,872184
1/13/2021,1644812,1407326,996646,868089
1/12/2021,1643725,1403337,997279,868015
1/11/2021,1571330,1397221,966517,867043
1/10/2021,763690,1395779,501437,866769
1/9/2021,991218,1380097,643475,854252
1/8/2021,1622259,1379867,982175,849282
1/7/2021,1614248,1235901,989097,763013
1/6/2021,1616889,1187744,996123,733266
1/5/2021,1600910,1183256,990479,724554
1/4/2021,1561237,1177168,964597,714241
1/3/2021,653915,1170305,413820,705381
1/2/2021,989612,1185639,608686,713403
1/1/2021,614497,1170006,378288,705856
12/31/2020,1277146,1151627,780869,696487
12/30/2020,1585476,1156985,935138,701128
12/29/2020,1558295,1184165,918291,715195
12/28/2020,1513195,1213581,902574,731409
12/27/2020,761251,1243021,469973,746989
12/26/2020,880184,1251700,555857,753651
12/25/2020,485839,1284938,312707,769921
12/24/2020,1314656,1463922,813353,859314
12/23/2020,1775738,1430604,1033609,818235
12/22/2020,1764202,1401496,1031789,792612
12/21/2020,1719279,1404716,1011638,799030
12/20/2020,822001,1385828,516601,790269
12/19/2020,1112852,1398617,669751,799258
12/18/2020,1738727,1395548,938457,804202
12/17/2020,1081431,1402811,525802,820648
12/16/2020,1571978,1500418,854245,897902
12/15/2020,1786741,1519444,1076717,921165
12/14/2020,1587068,1484778,950309,914441
12/13/2020,911519,1495173,579527,924117
12/12/2020,1091372,1490568,704357,919247
12/11/2020,1789568,1477691,1053576,907158
12/10/2020,1764682,1465574,1066582,901335
12/9/2020,1705159,1461958,1017090,899961
12/8/2020,1544078,1461685,1029646,900143
12/7/2020,1659836,1485356,1018044,903217
12/6/2020,879278,1457118,545433,874870
12/5/2020,1001236,1449764,619735,874925
12/4/2020,1704749,1454448,1012813,884243
12/3/2020,1739370,1391701,1056963,855583
12/2/2020,1703245,1236523,1018368,767929
12/1/2020,1709780,1234830,1051162,769933
11/30/2020,1462166,1239019,819615,771780
11/29/2020,827800,1265817,545820,797974
11/28/2020,1034026,1264424,684962,797645
11/27/2020,1265519,1282132,812188,807053
11/26/2020,653123,1359043,443386,844330
11/25/2020,1691393,1517320,1032401,932198
11/24/2020,1739107,1531576,1064087,937945
11/23/2020,1649748,1539193,1002977,942269
11/22/2020,818055,1552841,543514,949194
11/21/2020,1157976,1553341,750818,946480
11/20/2020,1803896,1561557,1073124,947180
11/19/2020,1761064,1563862,1058467,945573
11/18/2020,1791183,1566597,1072627,945615
11/17/2020,1792431,1541837,1094353,930791
11/16/2020,1745282,1548740,1051458,938182
11/15/2020,821555,1550296,524515,945025
11/14/2020,1215491,1565576,755714,953647
11/13/2020,1820025,1569985,1061880,952759
11/12/2020,1780212,1572962,1058761,960205
11/11/2020,1617862,1575444,968853,969785
11/10/2020,1840750,1586312,1146090,986097
11/9/2020,1756175,1552790,1099361,967734
11/8/2020,928516,1552114,584868,962725
11/7/2020,1246356,1531851,749502,952125
11/6/2020,1840860,1521526,1114000,948500
11/5/2020,1797589,1511587,1125820,932857
11/4/2020,1693937,1498876,1083036,911185
11/3/2020,1606096,1517318,1017551,914979
11/2/2020,1751443,1547716,1064298,932293
11/1/2020,786678,1539521,510667,931410
10/31/2020,1174079,1553567,724129,940876
10/30/2020,1771288,1555215,1004498,948959
10/29/2020,1708611,1565926,974119,966607
10/28/2020,1823028,1583144,1109591,991171
10/27/2020,1818884,1582254,1138746,996569
10/26/2020,1694080,1577283,1058119,995019
10/25/2020,885001,1581375,576930,1001667
10/24/2020,1185612,1583216,780710,1002874
10/23/2020,1846268,1586851,1128035,1002773
10/22/2020,1829135,1562340,1146065,982506
10/21/2020,1816797,1566438,1147375,983663
10/20/2020,1784090,1570129,1127897,985737
10/19/2020,1722723,1560810,1104658,977063
10/18/2020,897886,1498548,585376,929328
10/17/2020,1211061,1491639,780003,926280
10/16/2020,1674686,1486009,986166,924982
10/15/2020,1857822,1505594,1154164,943368
10/14/2020,1842638,1497608,1161893,939639
10/13/2020,1718853,1487861,1067179,934304
10/12/2020,1286892,1494070,770512,943741
10/11/2020,849518,1550568,564046,989696
10/10/2020,1171657,1551150,770914,990082
10/9/2020,1811779,1550638,1114870,990424
10/8/2020,1801918,1548127,1128062,989651
10/7/2020,1774408,1549848,1124542,992865
10/6/2020,1762320,1545578,1133242,986074
10/5/2020,1682379,1531661,1092193,970339
10/4/2020,853591,1504551,566754,950783
10/3/2020,1168073,1503493,773305,953661
10/2/2020,1794201,1496650,1109459,951232
10/1/2020,1813961,1492521,1150563,946680
9/30/2020,1744524,1479981,1077000,935243
9/29/2020,1664896,1479198,1023100,937614
9/28/2020,1492611,1484545,955300,943157
9/27/2020,846184,1503835,586900,952571
9/26/2020,1120175,1501289,756300,952371
9/25/2020,1765299,1503828,1077600,953129
9/24/2020,1726180,1498615,1070500,952643
9/23/2020,1739043,1494302,1093600,951200
9/22/2020,1702325,1487353,1061900,948586
9/21/2020,1627636,1484418,1021200,952257
9/20/2020,828365,1481598,585500,955586
9/19/2020,1137948,1477080,761600,954429
9/18/2020,1728810,1469334,1074200,954157
9/17/2020,1695985,1464330,1060400,953929
9/16/2020,1690405,1443055,1075300,943729
9/15/2020,1681774,1432092,1087600,944643
9/14/2020,1607896,1414597,1044500,936829
9/13/2020,796744,1309494,577400,880514
9/12/2020,1083727,1312759,759700,880943
9/11/2020,1693776,1302762,1072600,878143
9/10/2020,1547065,1285299,989000,872700
9/9/2020,1613662,1283220,1081700,878657
9/8/2020,1559312,1265720,1032900,866129
9/7/2020,872174,1253317,650300,860943
9/6/2020,819600,1328784,580400,909100
9/5/2020,1013746,1318682,740100,943657
9/4/2020,1571533,1284499,1034500,965471
9/3/2020,1532512,1258752,1030700,1008171
9/2/2020,1491161,1234268,994000,1042943
9/1/2020,1472491,1222767,996600,1095429
8/31/2020,1400448,1205173,987400,1134971
8/30/2020,748886,1192266,822300,1175443
8/29/2020,774465,1181310,892800,1169857
8/28/2020,1391299,1196871,1333400,1184986
8/27/2020,1361128,1196719,1274100,1185329
8/26/2020,1410651,1204193,1361400,1196557
8/25/2020,1349335,1187662,1273400,1175329
8/24/2020,1310101,1190981,1270700,1180186
8/23/2020,672193,1190616,783200,1180800
8/22/2020,883393,1173871,998700,1157771
8/21/2020,1390232,1170781,1335800,1158100
8/20/2020,1413449,1166290,1352700,1156100
8/19/2020,1294931,1149262,1212800,1134114
8/18/2020,1372568,1150284,1307400,1136214
8/17/2020,1307543,1143200,1275000,1128929
8/16/2020,554980,1139017,622000,1124457
8/15/2020,861763,1154540,1001000,1145129
8/14/2020,1358798,1150587,1321800,1139557
8/13/2020,1294248,1140278,1198800,1130200
8/12/2020,1302087,1146502,1227500,1136343
8/11/2020,1322978,1153494,1256400,1147414
8/10/2020,1278263,1111452,1243700,1106229
8/9/2020,663642,1111122,766700,1109743
8/8/2020,834093,1100698,962000,1101214
8/7/2020,1286635,1102023,1256300,1102257
8/6/2020,1337819,1098357,1241800,1097171
8/5/2020,1351026,1089085,1305000,1094643
8/4/2020,1028686,1081636,968100,1090086
8/3/2020,1275951,1112453,1268300,1124729
8/2/2020,590675,1102478,707000,1112829
8/1/2020,843372,1104875,969300,1114843
7/31/2020,1260968,1101165,1220700,1114557
7/30/2020,1272918,1095405,1224100,1102214
7/29/2020,1298880,1090192,1273100,1095943
7/28/2020,1244405,1081264,1210600,1083943
7/27/2020,1206129,1081284,1185000,1083043
7/26/2020,607452,1074575,721100,1075243
7/25/2020,817403,1071438,967300,1071200
7/24/2020,1220649,1066055,1134300,1063543
7/23/2020,1236427,1064490,1180200,1069529
7/22/2020,1236384,1066698,1189100,1074043
7/21/2020,1244544,1068810,1204300,1079743
7/20/2020,1159163,1068696,1130400,1080743
7/19/2020,585498,1071416,692800,1082700
7/18/2020,779722,1077619,913700,1087686
7/17/2020,1209692,1065343,1176200,1078957
7/16/2020,1251884,1040065,1211800,1043329
7/15/2020,1251164,1034632,1229000,1041029
7/14/2020,1243749,1023713,1211300,1024729
7/13/2020,1178204,1011690,1144100,1011514
7/12/2020,628918,998687,727700,995243
7/11/2020,693789,985158,852600,985386
7/10/2020,1032749,970659,926800,971429
7/9/2020,1213851,944983,1195700,977343
7/8/2020,1174733,939125,1114900,974886
7/7/2020,1159588,931712,1118800,973071
7/6/2020,1087178,925415,1030200,967814
7/5/2020,534220,927688,658700,976000
7/4/2020,592295,928012,754900,973586
7/3/2020,853015,931410,968200,973443
7/2/2020,1172848,967336,1178500,996571
7/1/2020,1122842,954216,1102200,983714
6/30/2020,1115510,946743,1082000,983386
6/29/2020,1103086,937813,1087500,983986
6/28/2020,536488,923383,641800,973800
6/27/2020,616084,910956,753900,966743
6/26/2020,1104497,905243,1130100,968829
6/25/2020,1081006,888698,1088500,955286
6/24/2020,1070527,869171,1099900,939457
6/23/2020,1053005,851998,1086200,921929
6/22/2020,1002073,835075,1016200,904043
6/21/2020,449497,820340,592400,893286
6/20/2020,576097,817618,768500,890257
6/19/2020,988680,813224,1035300,881443
6/18/2020,944318,800314,977700,871586
6/17/2020,950318,782536,977200,850500
6/16/2020,934545,769460,961000,841571
6/15/2020,898925,756520,940900,835271
6/14/2020,430446,743265,571200,824200
6/13/2020,545333,735785,706800,818586
6/12/2020,898314,724195,966300,810186
6/11/2020,819873,696554,830100,782557
6/10/2020,858782,683432,914700,777929
6/9/2020,843968,658325,916900,753143
6/8/2020,806138,637084,863400,725643
6/7/2020,378085,620281,531900,711486
6/6/2020,464207,615473,648000,702400
6/5/2020,704825,610123,772900,698686
6/4/2020,728018,603484,797700,691243
6/3/2020,683037,593660,741200,678829
6/2/2020,695276,592612,724400,675686
6/1/2020,688520,587278,764300,673486
5/31/2020,344428,545255,468300,640243
5/30/2020,426755,541819,622000,639229
5/29/2020,658353,528890,720800,616186
5/28/2020,659248,525544,710800,611814
5/27/2020,675705,521418,719200,603886
5/26/2020,657939,514145,709000,594686
5/25/2020,394359,507575,531600,585343
5/24/2020,320376,536453,461200,598571
5/23/2020,336250,531793,460700,591757
5/22/2020,634929,535376,690200,601743
5/21/2020,630367,528783,655300,599071
5/20/2020,624793,519919,654800,593457
5/19/2020,611951,511567,643600,587243
5/18/2020,596505,503330,624200,580286
5/17/2020,287755,492643,413500,570157
5/16/2020,361329,490443,530600,566229
5/15/2020,588784,484164,671500,556486
5/14/2020,568315,475318,616000,542514
5/13/2020,566333,470702,611300,541029
5/12/2020,554286,462604,594900,530671
5/11/2020,521702,458131,553300,529029
5/10/2020,272353,456854,386000,532600
5/9/2020,317372,454975,462400,531157
5/8/2020,526865,456258,573700,533471
5/7/2020,536003,451751,605600,530843
5/6/2020,509646,441841,538800,514157
5/5/2020,522979,437404,583400,511414
5/4/2020,512763,432703,578300,507443
5/3/2020,259199,425694,375900,498886
