LocID,Boro,On,From,To,2007 Spring AM,2007 Fall AM,2008 Spring AM,2008 Fall AM,2009 Spring AM,2009 Fall AM,2010 Spring AM,2010 Fall AM,2011 Spring AM,2011 Fall AM,2012 Spring AM,2012 Fall AM,2013 Spring AM,2013 Fall AM,2014 Spring AM,2014 Fall AM,2015 Spring AM,2015 Fall AM,2016 Spring AM,2016 Fall AM,2017 Spring AM,2017 Fall AM,2018 Spring AM,2018 Fall AM,2019 Spring AM,2020 Fall AM,2021 Spring AM,2007 Spring PM,2007 Fall PM,2008 Spring PM,2008 Fall PM,2009 Spring PM,2009 Fall PM,2010 Spring PM,2010 Fall PM,2011 Spring PM,2011 Fall PM,2012 Spring PM,2012 Fall PM,2013 Spring PM,2013 Fall PM,2014 Spring PM,2014 Fall PM,2015 Spring PM,2015 Fall PM,2016 Spring PM,2016 Fall PM,2017 Spring PM,2017 Fall PM,2018 Spring PM,2018 Fall PM,2019 Spring PM,2020 Fall PM,2021 Spring PM,2007 Spring SAT,2007 Fall SAT,2008 Spring SAT,2008 Fall SAT,2009 Spring SAT,2009 Fall SAT,2010 Spring SAT,2010 Fall SAT,2011 Spring SAT,2011 Fall SAT,2012 Spring SAT,2012 Fall SAT,2013 Spring SAT,2013 Fall SAT,2014 Spring SAT,2014 Fall SAT,2015 Spring SAT,2015 Fall SAT,2016 Spring SAT,2016 Fall SAT,2017 Spring SAT,2017 Fall SAT,2018 Spring SAT,2018 Fall SAT,2019 Spring SAT,2020 Fall SAT,2021 Spring SAT
6,Bronx,Grand Concourse,East 164th Street,East 165th Street,489,873,634,771,605,599,597,634,753,802,838,936,912,963,858,972,839,999,767,982,740,962,757,1158,694,511,500,1235,1457,1554,1445,1271,1028,1426,1341,1394,1396,1372,1743,2059,1726,2035,1902,2023,1948,1933,1971,1909,1872,1933,1986,1881,1459,878,835,631,856,744,539,750,669,738,891,859,1069,1059,1037,973,1042,1097,1059,1161,1010,1165,925,1199,956,686,816,689,586
7,Bronx,Third Avenue,East 150th Street,East 151st Street,703,858,636,1499,1696,1446,1624,1701,1773,1937,1367,1604,2097,1231,2161,1648,2165,1690,2059,1689,2027,1702,1817,1649,1136,778,567,8776,6503,6123,5803,7236,6730,6877,6922,7138,7050,6961,7500,8853,6701,9048,9057,9285,7894,9097,7885,9045,7883,9048,9087,6589,4641,2571,2865,5501,4461,4251,3540,7409,4565,4866,5866,4951,5551,5012,6599,4294,6717,6785,6721,6844,6688,6900,6683,6921,5956,4470,4967,3020,3433
8,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,1025,1743,1638,1056,990,1461,1375,1568,1545,1689,1626,1591,1410,1479,1495,1769,1512,1537,1638,1377,1186,2023,1601,1493,1305,728,763,4039,4667,4798,3194,3490,5090,4834,4386,4402,3016,3415,5398,4232,4910,5166,4114,4333,4379,5900,4098,4673,5520,5059,4011,5007,3556,4344,3991,3309,4858,2489,3335,2526,3095,2217,2985,2360,3828,3851,3007,4056,2540,2893,3122,3092,2582,2730,3420,3166,3391,2566,3326,2238,2204
10,Brooklyn,5th Avenue,Union Street ,President Street,504,422,672,487,469,774,582,661,631,591,666,723,688,794,800,955,900,922,941,951,812,905,743,736,849,539,536,2207,2167,2707,1898,2547,2310,2274,3063,2915,2848,1414,3255,2764,2513,3051,2390,2492,2955,2751,2911,2570,2463,2252,2297,6007,1983,2564,2225,1627,966,2321,2259,1690,2808,2141,2852,2307,2620,2468,2554,2591,3080,1962,3081,2681,3131,2248,2298,1679,2286,2196,4865,3144,1429
11,Brooklyn,7th Avenue ,9th Street,8th Street,2345,2167,3259,2646,2233,2718,2635,2888,2713,1944,2583,3050,2917,3241,3479,3009,2165,3553,3134,1838,3108,3494,3112,3567,2117,1128,1646,4089,3801,4733,3900,3986,4033,3881,5261,4018,3832,2641,4019,4540,4642,3914,3314,3920,4217,4792,4557,4288,4122,4227,3764,4767,2731,3313,2519,1917,2682,3110,2944,2212,3436,2611,3026,2311,3858,3058,3242,2709,3293,2215,2742,2050,2925,2520,3721,2450,2968,1605,2966,2452,1747
12,Brooklyn,86th Street,4th Avenue,5th Avenue,983,1073,1119,1092,1049,1038,1012,1039,1211,1236,1118,1533,1406,1452,1534,1177,1473,1678,1456,1561,1611,1441,1507,1468,1149,741,720,4193,5202,5128,4946,4674,4032,4519,4462,5288,6226,3466,5237,5814,5233,5281,5615,6828,5514,4475,6338,6632,5004,5359,5708,5605,3702,3523,3886,3402,4606,4323,4406,2629,4063,3549,4464,4179,6416,4778,5289,5124,4049,3740,5036,4362,5356,5412,4163,3638,3652,3513,4176,3152,1547
14,Brooklyn,Bedford Avenue,North 7th Street,North 6th Street,1852,1875,1823,1951,1544,2001,2179,1773,2434,2109,2817,1984,2300,2593,2585,3463,2765,2714,2621,3410,2930,2566,2938,3234,3120,1224,1708,4462,3619,4299,4778,5501,5136,5234,5090,6391,5692,4144,6429,6527,6261,6453,7600,7266,6300,6058,8301,8736,6127,7961,7524,8882,4210,4472,3432,3254,3526,4048,4110,4045,4727,4184,5872,3690,5649,5619,6351,5405,4951,5494,4585,4630,5038,5014,6209,3572,4897,7034,5323,4297,3315
15,Brooklyn,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,1204,1215,2002,1828,1411,1537,1332,1489,1427,1608,1183,1447,1515,1424,1596,1752,1368,1687,1471,1531,1791,1575,1566,1048,1262,716,967,5968,6095,7419,6420,6106,5590,5744,6080,5859,5520,3189,5272,5960,6068,6037,6397,6314,5859,5257,5930,6544,5315,6064,5788,5598,4504,4644,5178,5230,7729,5920,5935,6140,4994,5098,4093,5463,4868,5747,5442,5397,4804,4453,4918,5431,5266,5092,4502,4827,4686,4451,4989,3670,2524
18,Brooklyn,Court Street,Atlantic Avenue,Pacific Street,1910,1920,1590,1763,1727,1223,1573,1659,2320,2096,1740,1932,1687,1952,1844,2126,1761,1987,2003,2308,2347,2341,2070,1925,1901,1017,1284,3716,3508,3486,3553,4225,2992,4214,4621,4597,3915,2405,4402,5174,5266,4426,4943,4714,5846,5309,4503,5287,5129,4247,3822,6108,2672,3320,3013,2293,2319,2540,2863,2640,2662,3028,3887,4100,3274,3863,3605,3787,4856,4048,7496,3163,4003,3170,4713,3671,3937,3236,4510,2464,2448
19,Brooklyn,Eastern Parkway,Plaza Street East,Underhill Avenue,739,543,643,785,629,755,577,812,412,525,571,1228,970,752,687,1026,824,995,1037,1161,1217,1424,971,1009,980,585,992,1572,1152,1367,1274,880,1496,1647,1695,1792,1094,1133,1623,2269,2010,2127,1931,1884,2042,2601,2381,2749,2276,1750,2062,2047,1734,2330,2534,1027,2999,1759,2408,3102,2951,2738,4699,2670,2024,1842,4276,3458,3828,2565,2511,3333,2078,3082,2205,2670,4437,3147,3111,2283,2385
