"Date","Subway","Subway7DayAverage"
2020-08-22,883393,1173870.85714286
2020-08-23,672193,1190615.57142857
2020-08-24,1310101,1190981
2020-08-25,1349335,1187662
2020-08-26,1410651,1204193.42857143
2020-08-27,1361128,1196719
2020-08-28,1391299,1196871.42857143
2020-08-29,774465,1181310.28571429
2020-08-30,748886,1192266.42857143
2020-08-31,1400448,1205173.14285714
2020-09-01,1472491,1222766.85714286
2020-09-02,1491161,1234268.28571429
2020-09-03,1532512,1258751.71428571
2020-09-04,1571533,1284499.42857143
2020-09-05,1013746,1318682.42857143
2020-09-06,819600,1328784.42857143
2020-09-07,872174,1253316.71428571
2020-09-08,1559312,1265719.71428571
2020-09-09,1613662,1283219.85714286
2020-09-10,1547065,1285298.85714286
2020-09-11,1693776,1302762.14285714
2020-09-12,1083727,1312759.42857143
2020-09-13,796744,1309494.28571429
2020-09-14,1607896,1414597.42857143
2020-09-15,1681774,1432092
2020-09-16,1690405,1443055.28571429
2020-09-17,1695985,1464329.57142857
2020-09-18,1728810,1469334.42857143
2020-09-19,1137948,1477080.28571429
2020-09-20,828365,1481597.57142857
2020-09-21,1627636,1484417.57142857
2020-09-22,1702325,1487353.42857143
2020-09-23,1739043,1494301.71428571
2020-09-24,1726180,1498615.28571429
2020-09-25,1765299,1503828
2020-09-26,1120175,1501289
2020-09-27,846184,1503834.57142857
2020-09-28,1492611,1484545.28571429
2020-09-29,1664896,1479198.28571429
2020-09-30,1744524,1479981.28571429
2020-10-01,1813961,1492521.42857143
2020-10-02,1794201,1496650.28571429
2020-10-03,1168073,1503492.85714286
2020-10-04,853591,1504551
2020-10-05,1682379,1531660.71428571
2020-10-06,1762320,1545578.42857143
2020-10-07,1774408,1549847.57142857
2020-10-08,1801918,1548127.14285714
2020-10-09,1811779,1550638.28571429
2020-10-10,1171657,1551150.28571429
2020-10-11,849518,1550568.42857143
2020-10-12,1286892,1494070.28571429
2020-10-13,1718853,1487860.71428571
2020-10-14,1842638,1497607.85714286
2020-10-15,1857822,1505594.14285714
2020-10-16,1674686,1486009.42857143
2020-10-17,1211061,1491638.57142857
2020-10-18,897886,1498548.28571429
2020-10-19,1722723,1560809.85714286
2020-10-20,1784090,1570129.42857143
2020-10-21,1816797,1566437.85714286
2020-10-22,1829135,1562339.71428571
2020-10-23,1846268,1586851.42857143
2020-10-24,1185612,1583215.85714286
2020-10-25,885001,1581375.14285714
2020-10-26,1694080,1577283.28571429
2020-10-27,1818884,1582253.85714286
2020-10-28,1823028,1583144
2020-10-29,1708611,1565926.28571429
2020-10-30,1771288,1555214.85714286
2020-10-31,1174079,1553567.28571429
2020-11-01,786678,1539521.14285714
2020-11-02,1751443,1547715.85714286
2020-11-03,1606096,1517317.57142857
2020-11-04,1693937,1498876
2020-11-05,1797589,1511587.14285714
2020-11-06,1840860,1521526
2020-11-07,1246356,1531851.28571429
2020-11-08,928516,1552113.85714286
2020-11-09,1756175,1552789.85714286
2020-11-10,1840750,1586311.85714286
2020-11-11,1617862,1575444
2020-11-12,1780212,1572961.57142857
2020-11-13,1820025,1569985.14285714
2020-11-14,1215491,1565575.85714286
2020-11-15,821555,1550295.71428571
2020-11-16,1745282,1548739.57142857
2020-11-17,1792431,1541836.85714286
2020-11-18,1791183,1566597
2020-11-19,1761064,1563861.57142857
2020-11-20,1803896,1561557.42857143
2020-11-21,1157976,1553341
2020-11-22,818055,1552841
2020-11-23,1649748,1539193.28571429
2020-11-24,1739107,1531575.57142857
2020-11-25,1691393,1517319.85714286
2020-11-26,653123,1359042.57142857
2020-11-27,1265519,1282131.57142857
2020-11-28,1034026,1264424.42857143
2020-11-29,827800,1265816.57142857
2020-11-30,1462166,1239019.14285714
2020-12-01,1709780,1234829.57142857
2020-12-02,1703245,1236522.71428571
2020-12-03,1739370,1391700.85714286
2020-12-04,1704749,1454448
2020-12-05,1001236,1449763.71428571
2020-12-06,879278,1457117.71428571
2020-12-07,1659836,1485356.28571429
2020-12-08,1544078,1461684.57142857
2020-12-09,1705159,1461958
2020-12-10,1764682,1465574
2020-12-11,1789568,1477691
2020-12-12,1091372,1490567.57142857
