CmplxID,Boro,CmplxName,Routes,Lat,Long,September 2019,September 2020,September 2021,Notes
351,Bk,Van Siclen Av,3,40.665449,-73.889395,2990,1143,1466,Both directions closed 4/20/2015 to 3/28/2016
352,Bk,New Lots Av,3,40.666235,-73.884079,5683,2226,2816,
353,Bk,President Street-Medgar Evers College,2 5,40.667883,-73.950683,4817,1132,1991,
354,Bk,Sterling St,2 5,40.662742,-73.95085,2995,2079,3081,
355,Bk,Winthrop St,2 5,40.656652,-73.9502,7998,2854,4340,
356,Bk,Church Av,2 5,40.650843,-73.949575,9663,3815,5117,
357,Bk,Beverly Rd,2 5,40.645098,-73.948959,4455,1751,2355,Coney Is-bound closed 2/24/2014 to 6/05/2014
358,Bk,Newkirk Av,2 5,40.639967,-73.948411,7518,2824,3957,
359,Bk,Flatbush Av-Brooklyn College,2 5,40.632836,-73.947642,21118,6454,9243,
360,Bx,Pelham Bay Park,6,40.852462,-73.828121,7507,2716,3588,
361,Bx,Buhre Av,6,40.84681,-73.832569,4164,1521,2151,Both directions closed 7/05/2014 to 4/27/2015
362,Bx,Middletown Rd,6,40.843863,-73.836322,2155,765,1093,Both directions closed 10/05/2013 to 5/04/2014
363,Bx,Westchester Sq-E Tremont Av,6,40.839892,-73.842952,6582,2471,3555,
364,Bx,Zerega Av,6,40.836488,-73.847036,2838,1042,1413,Both directions closed 7/05/2014 to 4/27/2015
365,Bx,Castle Hill Av,6,40.834255,-73.851222,6734,2681,3598,Both directions closed 10/05/2013 to 5/04/2014
366,Bx,Parkchester,6,40.833226,-73.860816,16544,6385,8280,Uptown local closed 4/10/2010 to 7/05/2010; Downtown local closed 7/10/2010 to 10/11/2010
367,Bx,St Lawrence Av,6,40.831509,-73.867618,4289,1785,2236,Both directions closed 2/28/2011 to 10/16/2011; Both directions closed 2/28/2011 to 10/16/2011
368,Bx,Morrison Av-Soundview,6,40.829521,-73.874516,6742,2940,3495,Both directions closed 2/08/2010 to 9/13/2010
369,Bx,Elder Av,6,40.828584,-73.879159,6751,3018,3583,Both directions closed 2/28/2011 to 10/16/2011
370,Bx,Whitlock Av,6,40.826525,-73.886283,2034,929,1129,Both directions closed 2/08/2010 to 9/13/2010
371,Bx,Hunts Point Av,6,40.820948,-73.890549,10965,4596,5666,
372,Bx,Longwood Av,6,40.816104,-73.896435,3528,1488,1879,Manhattan-bound closed 2/03/2020 to 4/10/2020
373,Bx,E 149 St,6,40.812118,-73.904098,5106,2241,2663,
374,Bx,E 143 St-St Mary's St,6,40.808719,-73.907657,1194,469,811,
375,Bx,Cypress Av,6,40.805368,-73.914042,3472,1438,1686,
376,Bx,Brook Av,6,40.807566,-73.91924,6079,2756,3324,
377,Bx,3 Av-138 St,6,40.810476,-73.926138,8589,3520,4372,
378,Bx,Woodlawn,4,40.886037,-73.878751,7127,2803,3896,
379,Bx,Mosholu Pkwy,4,40.87975,-73.884655,8528,3757,4903,Uptown closed 10/30/2006 to 1/27/2007; Downtown closed 8/13/2007 to 11/12/2007
380,Bx,Bedford Park Blvd-Lehman College,4,40.873412,-73.890064,5784,1899,3147,
381,Bx,Kingsbridge Rd,4,40.86776,-73.897174,9748,3790,5176,Both directions closed 3/05/2007 to 7/13/2007
382,Bx,Fordham Rd,4,40.862803,-73.901034,10424,4541,5977,
383,Bx,183 St,4,40.858407,-73.903879,6016,2659,3435,Both directions closed 3/05/2007 to 7/13/2007
384,Bx,Burnside Av,4,40.853453,-73.907684,10939,3559,5501,
385,Bx,176 St,4,40.84848,-73.911794,5907,2473,3196,
386,Bx,Mt Eden Av,4,40.844434,-73.914685,5282,2376,3036,
387,Bx,170 St,4,40.840075,-73.917791,8536,3568,4257,
388,Bx,167 St,4,40.835537,-73.9214,8949,3962,5355,
391,Bx,138 St-Grand Concourse,4 5,40.813224,-73.929849,3844,1285,2472,Bronx-bound closed 11/18/2019 to 3/30/2020; Manhattan-bound closed 4/27/2020 to 7/27/2020
392,M,125 St,4 5 6,40.804138,-73.937594,28577,9340,13488,
393,M,116 St,6,40.798629,-73.941617,15276,5454,8263,
394,M,110 St,6,40.79502,-73.94425,11149,3967,6053,
395,M,103 St,6,40.7906,-73.947478,13952,5170,7643,Downtown closed 5/04/2015 to 9/11/2015; Uptown closed 1/25/2016 to 5/23/2016
396,M,96 St,6,40.785672,-73.95107,18813,6444,10124,
397,M,86 St,4 5 6,40.779492,-73.955589,45397,13994,23554,
398,M,77 St,6,40.77362,-73.959874,27623,9376,15217,
399,M,68 St-Hunter College,6,40.768141,-73.96387,27915,6613,13529,
403,M,33 St,6,40.746081,-73.982076,31558,7366,13348,
404,M,28 St,6,40.74307,-73.984264,21815,5322,9385,Both directions closed 7/16/2018 to 1/14/2019
405,M,23 St,6,40.739864,-73.986599,33761,5415,12734,
407,M,Astor Pl,6,40.730054,-73.99107,18088,3325,8107,
409,M,Spring St,6,40.722301,-73.997141,11895,2333,5520,
413,M,Wall St,4 5,40.707557,-74.011862,21065,3582,7151,
414,M,Bowling Green,4 5,40.704817,-74.014065,30900,5592,10343,
416,Bx,Wakefield-241 St,2,40.903125,-73.85062,4661,2133,2619,Both directions closed 8/10/2014 to 8/26/2014
417,Bx,Nereid Av,2 5,40.898379,-73.854376,3598,1448,2006,
418,Bx,233 St,2 5,40.893193,-73.857473,5041,2161,2755,
419,Bx,225 St,2 5,40.888022,-73.860341,4148,1564,2122,
420,Bx,219 St,2 5,40.883895,-73.862633,3453,1306,1757,
421,Bx,Gun Hill Rd,2 5,40.87785,-73.866256,7621,2622,3905,
422,Bx,Burke Av,2 5,40.871356,-73.867164,3486,1396,1873,
423,Bx,Allerton Av,2 5,40.865462,-73.867352,5470,2191,2974,
424,Bx,Pelham Pkwy,2 5,40.857192,-73.867615,9097,3664,4870,
425,Bx,Bronx Park East,2 5,40.848828,-73.868457,2780,1049,1584,
426,Bx,E 180 St,2 5,40.841894,-73.873488,7566,3190,4304,
427,Bx,West Farms Sq-E Tremont Av,2 5,40.840295,-73.880049,7141,2618,3780,
428,Bx,174 St,2 5,40.837288,-73.887734,6952,2637,3833,
429,Bx,Freeman St,2 5,40.829993,-73.891865,4578,1799,2658,
430,Bx,Simpson St,2 5,40.824073,-73.893064,8638,3498,5079,
431,Bx,Intervale Av,2 5,40.822181,-73.896736,3323,1355,1977,
432,Bx,Prospect Av,2 5,40.819585,-73.90177,7228,2756,4280,
433,Bx,Jackson Av,2 5,40.81649,-73.907807,5440,2023,2989,
434,Bx,3 Av-149 St,2 5,40.816109,-73.917757,23101,8973,11405,
436,M,Harlem-148 St,3,40.82388,-73.93647,3899,1306,1958,
437,M,145 St,3,40.820421,-73.936245,3389,1246,1830,Both directions closed 7/23/2018 to 11/28/2018
438,M,135 St,2 3,40.814229,-73.94077,14328,5000,7163,
439,M,125 St,2 3,40.807754,-73.945495,15136,4589,7263,
440,M,116 St,2 3,40.802098,-73.949625,10915,3518,5670,
441,M,Central Park North (110 St),2 3,40.799075,-73.951822,8667,2742,4162,
442,Bx,Eastchester-Dyre Av,5,40.8883,-73.830834,5090,1861,2479,
443,Bx,Baychester Av,5,40.878663,-73.838591,4215,1325,1939,
444,Bx,Gun Hill Rd,5,40.869526,-73.846384,4041,1838,2895,Dyre Av-bound closed 3/01/2019 to 8/31/2019; Manhattan-bound closed 9/14/2019 to 3/30/2020
445,Bx,Pelham Pkwy,5,40.858985,-73.855359,3412,1181,1851,
446,Bx,Morris Park,5,40.854364,-73.860495,2608,1016,1424,
447,Q,Flushing-Main St,7,40.7596,-73.83003,60556,21231,33240,
448,Q,Mets-Willets Point,7,40.754622,-73.845625,8768,930,7930,
449,Q,111 St,7,40.75173,-73.855334,11818,5747,8164,
450,Q,103 St-Corona Plaza,7,40.749865,-73.8627,21098,9799,13436,
451,Q,Junction Blvd,7,40.749145,-73.869527,22108,11195,15682,
452,Q,90 St-Elmhurst Av,7,40.748408,-73.876613,17283,8300,11190,
453,Q,82 St-Jackson Hts,7,40.747659,-73.883697,16256,6966,11152,
455,Q,69 St,7,40.746325,-73.896403,5273,2204,3508,
456,Q,Woodside-61 St,7,40.74563,-73.902984,17958,7125,11057,
457,Q,52 St,7,40.744149,-73.912549,6728,2504,3901,
458,Q,46 St-Bliss St,7,40.743132,-73.918435,13538,5137,7831,
459,Q,40 St-Lowery St,7,40.743781,-73.924016,10847,3421,5877,
460,Q,33 St-Rawson St,7,40.744587,-73.930997,12144,2285,4760,
461,Q,Queensboro Plaza,N W 7,40.750582,-73.940202,15909,4243,8956,
463,Q,Hunters Point Av,7,40.742216,-73.948916,7409,1907,3072,
464,Q,Vernon Blvd-Jackson Av,7,40.742626,-73.953581,15287,4729,8313,
471,M,34 St-Hudson Yards,7,40.755882,-74.00191,20362,4769,9208,
475,M,96 St,Q,40.784318,-73.947152,20449,6130,10086,
476,M,86 St,Q,40.777891,-73.951787,27057,7002,12735,
477,M,72 St,Q,40.768799,-73.958424,32974,10510,17300,
601,M,14 St/6 Av,F L M 1 2 3,40.738007,-73.998381,48901,11479,22852,
602,M,14 St-Union Sq,L N Q R W 4 5 6,40.734836,-73.990688,107187,24619,48553,
603,Bx,149 St-Grand Concourse,2 4 5,40.818558,-73.927272,14437,4728,6827,
604,Bx,161 St-Yankee Stadium,B D 4,40.827883,-73.925905,28562,8781,14814,
605,M,168 St,A C 1,40.841085,-73.939743,20584,9365,14809,Both directions closed 1/02/2019 to 12/21/2019
606,Q,Court Sq-23 St,E G M 7,40.747662,-73.945069,24724,5852,11355,Both directions closed 1/23/2012 to 4/02/2012
607,M,34 St-Herald Sq,B D F M N Q R W,40.749501,-73.987992,125258,29503,51435,
608,Bk,4 Av-9 St,F G R,40.669934,-73.989094,13173,3885,7148,
610,M,Grand Central-42 St,S 4 5 6 7,40.751785,-73.976843,161501,26130,54233,
611,M,Times Sq-42 St/Port Authority Bus Terminal/42 St-Bryant Pk/5 Av,A B C D E F M N Q R S W 1 2 3 7,40.755383,-73.987453,268334,55736,107068,
612,M,Lexington Av/51 St,E M 6,40.757757,-73.971457,68030,12516,24697,
613,M,Lexington Av/59 St,N R W 4 5 6,40.762796,-73.967686,56977,16659,26751,
614,M,59 St-Columbus Circle,A B C D 1,40.76811,-73.981891,78199,16974,35364,
615,Bk,62 St/New Utrecht Av,D N,40.625918,-73.997069,5089,2077,3108,Manhattan-bound closed 1/18/2016 to 5/22/2017; Coney Is-bound closed 7/31/2017 to 7/01/2019
616,Q,Jackson Hts-Roosevelt Av/74 St-Broadway,E F M R 7,40.746655,-73.891361,54321,21437,32491,
617,Bk,Atlantic Av-Barclays Ctr,B D N Q R 2 3 4 5,40.684063,-73.977417,44197,12655,22697,
618,M,14 St/8 Av,A C E L,40.739757,-74.002515,46138,9840,21730,
619,M,Broadway-Lafayette St/Bleecker St,B D F M 6,40.725115,-73.995331,40912,8883,18932,
620,Bk,Borough Hall/Court St,R 2 3 4 5,40.693727,-73.990441,37713,7852,15241,Both directions closed 10/29/2012 to 12/21/2012; Both directions closed 10/29/2012 to 12/03/2012
621,Bk,Broadway Junction,A C J L Z,40.678742,-73.903268,8021,3433,4176,
622,M,Brooklyn Bridge-City Hall/Chambers St,J Z 4 5 6,40.713159,-74.003917,33120,5641,13562,Both directions closed 10/29/2012 to 12/03/2012
623,M,Canal St,J N Q R W Z 6,40.718697,-74.000977,50358,10963,21516,
624,M,Chambers St/WTC/Park Place/Cortlandt St,A C E R W 2 3,40.71273,-74.009674,76656,11776,25396,
625,M,Delancey St-Essex St,F J M Z,40.718517,-73.988233,28409,7773,15345,
626,Bk,Franklin Avenue/Botanic Garden,S 2 3 4 5,40.670793,-73.958644,16878,4362,7906,
627,Bk,Franklin Av,C S,40.681159,-73.956056,6487,1897,2977,
628,M,Fulton St,A C J Z 2 3 4 5,40.710227,-74.007747,99678,19694,38279,Both directions closed 10/29/2012 to 12/04/2012
629,Bk,Metropolitan Av/Lorimer St,G L,40.713875,-73.951592,14729,4106,8133,
630,Bk,Myrtle-Wyckoff Avs,L M,40.699592,-73.911141,19087,7511,10622,
635,M,Whitehall St-South Ferry,R W 1,40.70205,-74.012755,35327,6633,12255,Terminal closed 10/29/2012 to 4/04/2013; Both directions closed 10/29/2012 to 12/03/2012
636,Bk,Jay St-MetroTech,A C F R,40.69225,-73.987309,45838,9100,18858,
